danish,english,ukranian
"Ja, jamen hvordan foregår sådan en typisk undersøgelse når du skal samarbejde med en patient?","Yes, well, how does a typical examination proceed when you have to collaborate with a patient?","Як проходить типове обстеження, коли вам потрібно взаємодіяти з пацієнтом?"
"Øhm, jamen altså, de bliver jo ankomst registreret, patienterne, de ligger nærmest som en perle på en snor, vi har 20 minutter til hver patient i scanneren, og så er det jo egentlig bare at man går ud og kalder på patienterne, de kommer ind, og så lige kort giver en forklaring på hvad der skal scannes. Hvis jeg fx skal lave en thorax-abdomen - er det fint, at jeg bruger fagtermer?","Um, well, they get checked in upon arrival, the patients, they're lined up almost like pearls on a string, we have 20 minutes for each patient in the scanner, and then it's just a matter of going out and calling the patients, they come in, and then briefly explaining what will be scanned. If, for example, I have to do a thoracic-abdominal scan - is it okay if I use technical terms?","Емм, ну, їх реєструють по прибуттю, пацієнтів, вони вишикуються у чергу, майже як перли на нитці. У нас є 20 хвилин на кожного пацієнта в сканері, і тоді просто треба вийти за двері та покликати пацієнта. Вони заходять, і ми коротко пояснюємо, що буде скануватися. Якщо, наприклад, мені треба зробити сканування грудно-черевної ділянки - чи можу я використовувати технічні терміни?"
"Ja, ja.","Yes, yes.","Так, так."
"Okay, jamen hvis jeg skal lave thorax-abdomen canning, så vil jeg altid forklare “Jamen jeg skal scanne lunger og mave, så du skal fjerne alt metal i det område” og så spørger jeg ind til “Er det noget I har prøvet før” og også fordi vi skal give kontrast væske, så er det også noget vi spørger om de har prøvet det før. Så skal man spørge ind til en masse, øhm, kontraindikationer, i forhold til om jeg må give det her kontrastvæske til patienterne, sådan så, det, det plejer at være meget formelt egentligt. Hvis patienterne er nervøse, så prøver vi at distrahere, eller prøver i hvert fald prøver at se om man kan komme ind på noget smalltalk af en eller anden art. ","Okay, well if I have to do a thoracic-abdominal scan, I'll always explain ""Well, I'm going to scan the lungs and abdomen, so you need to remove all metal in that area"" and then I ask ""Is this something you've tried before"" and also because we have to give contrast fluid, it's also something we ask if they've tried before. So you have to ask a lot about, um, contraindications, regarding whether I can give this contrast fluid to the patients, so it's usually quite formal actually. If patients are nervous, we try to distract them, or at least try to engage in some sort of small talk.","Добре, якщо мені потрібно зробити сканування грудно-черевної ділянки, я завжди поясню ""Ну, я буду сканувати легені і черево, тому вам потрібно зняти всі металеві предмети в цій області"", і потім я питаю ""Чи ви раніше це робили?"" І ще, оскільки ми повинні вводити контрастну рідину, ми також запитуємо, чи вони раніше робили це. Потрібно ставити багато питань про протипоказання, щодо того, чи можу я вводити цю контрастну рідину пацієнтам, так що це зазвичай досить формально. Якщо пацієнти нервують, ми намагаємося відволікти їх, або принаймні спробувати вести якусь розмову."
Hvad ville fagligt for dit vedkommende være det du betragter som en god undersøgelse?,"What would, from a professional standpoint, be what you consider a good examination?","Що, з професійної точки зору, ви вважаєте гарним обстеженням?"
"Øhm, jamen det er jo at jeg opnår det produkt jeg skal have, ikke, og så er en ekstra ting selvfølgelig at patienten er sød og rar, samarbejdsvillig, ikke nogle konflikter der opstår over hovedet. Og går derfra med de svar som de eventuelt har spørgsmål til","Um, well, it's that I achieve the result I need, right, and then an additional thing is of course that the patient is kind and cooperative, no conflicts arising whatsoever. And they leave with the answers they might have questions about.","Коли я досягаю результату, який мені потрібеню І додатково коли пацієнт ввічливий і співпрацює, коли нема ніяких конфліктів. І коли вони йдуть від нас, отримавши відповіді на усі свої питання."
"Hvilket område inden for dit arbejde kan så være svær at håndtere, hvis der opstår kommunikationsvanskeligheder mellem dig og patienten?",What area within your work can be difficult to handle if there are communication difficulties between you and the patient?,Які задачі в вашій роботі можуть стати важкими у разі виникнення проблем з комунікацією між вами та пацієнтом?
"Øhm, jeg synes det kan være svært hvis vi fx har psykiatriske patienter. Øh, det er vi ikke super trænet i at have med at gøre, øhm, nu havde jeg en tidligere idag der var ekstremt nervøs, han var ikke psykiatrisk patient, men han havde åbenbart haft et traume tidligere som barn, hvor han havde haft et overgreb i synhedssystemete, så han var faktisk rigtig bange for at komme ind. Så det, så, da kan jeg godt blive udfordret i det, fordi vi har så kort tid.","Um, I think it can be difficult if we, for example, have psychiatric patients. Um, we're not super trained to deal with that, um, now I had one earlier today who was extremely nervous, he wasn't a psychiatric patient, but apparently, he had had a trauma earlier that he hadn't talked about before, where he had experienced abuse in the visual system, so he was actually really afraid to come in. So, um, then I can be challenged because we have such a short time.","Я думаю, може бути важко, якщо ми, наприклад, маємо психіатричних пацієнтів. Ми не дуже навчені працювати з таким. Я мала одного сьогодні, він був дуже знервований. Він не був психіатричним пацієнтом, але, схоже, він раніше пережив травму, про яку не розповів, де він пережив моральну травму, пов'язану із візуальною системою, тому він насправді дуже боявся заходити. Проблеми виникають, коли у нас так мало часу."
Ja,yes,Так
"Så kort tid til at skabe en kontakt imellem os, så da, ja, der bliver jeg udfordret i hvert fald i kommunikationen","So little time to establish a connection between us, so, yeah, I'm challenged in communication for sure.","Так мало часу, щоб встановити зв'язок між нами... Отже, так, я маю проблеми з комунікацією, безперечно."
Ja,Yes.,Так.
"Gør du dig så nogle tanker inden, når det kommer til kommunikation og så videre, når du så står over for en, altså, når du kan se, at det er en fra psyk, er der så nogle tanker, eller noget ballast, eller erfaring, du har dig, der træder ud for dig?","Do you then have any thoughts, when it comes to communication and so on, when you're facing, well, when you can see that it's someone from psych, are there any thoughts, or any baggage, or experience you have that comes to mind?","Тоді чи є у вас думки, коли йдеться про комунікацію, коли ви бачите, що хтось з психіатрії, чи є якісь думки, або якісь минулі історії, чи досвід, який спадає на думку?"
"Altså ja, mine alarmklokker er tændte, og jeg sørger altid for ikke at stå alene.","Well yes, my alarm bells are ringing, and I always make sure not to be alone.","Ну, так, спрацьовують мої сигнали тривоги, і я завжди переконуюся, що залишаюся не наодинці."
Mmmh.,Mmmh.,Ммм.
"Med psykiatriske patienter. Altså vi har en regel her på stedet, at hvis de kommer indlagt fra psykiatrien, så skal der være personale med fra afdelingen.","With psychiatric patients. We have a rule here at the facility that if they come in from psychiatry, there must be staff from the department present.","З психіатричними пацієнтами. У нас в установі є правило, що якщо вони приходять з відділення психіатрії, то має бути присутній персонал відділення."
Mhh,Mhh.,Ммм.
"Og ellers, så synes jeg, generelt, at det plejer egentlig at gå fint med de psykiatriske patienter, fordi vi netop har dem i så kort tid, men nej, jeg synes ikke sådan at jeg tænker over hvordan jeg skal snakke til dem, jeg prøver at behandle dem lige som alle mulige andre. Jeg prøver at aflæse, sådan, deres, øhm, deres måde at reagere på så godt det nu kan lade sig gøre.","And otherwise, I generally find that it usually goes fine with psychiatric patients because we have them for such a short time, but no, I don't really think about how I should talk to them, I try to treat them just like everyone else. I try to read, well, their, um, their way of reacting as best as possible.","Але в усьому іншому, у нас зазвичай все йде добре з психіатричними пацієнтами, тому що вони перебувають у нас недовго. Але ні, я не дуже думаю про те, як мені слід з ними розмовляти, я намагаюся ставитися до них так само, як до всіх інших. Я намагаюся якнайкраще розгадати, прочитати їхню реакцію."
Ja,Yes.,Так.
"Ja. Ja, nu siger du for eksempel sådan at, der er regler for hvor mange man skal være - har du været i situationer hvor at det, hvor det har påvirket dig rent kommunikationsmæssigt, altså nogle oplevelser, hvor du måske har stået alene med nogen?","Yes. Yes, now you're saying for example that, there are rules for how many should be present - have you been in situations where it, where it has affected you in terms of communication, I mean experiences where you may have been alone with someone?","Так. Так, тепер ви сказали, наприклад, що є правила щодо кількості присутніх - чи ви були в ситуаціях, коли це впливало на вас з точки зору комунікації, я маю на увазі досвід, коли ви, можливо, були наодинці з кимось?"
"Ja, ja, jeg havde en for noget tid siden ude på Frederiksberg, en psykiatrisk patient, som vi ikke vidste var psykiatrisk patient, fordi han kom fra et andet ambulatorium. Så der stod ikke, at han var psykiatrisk patient. Så der gik det helt skævt, men det var faktisk min kollega der var inde ved patienten, jeg lavede noget andet, fordi at der ikke var nogle af os der vidste hvad han var for en. Det gik helt galt, så vi faktisk måtte løbe derfra, fordi han gik helt, helt amok, ikke. Så det var sådan helt, meget dramatisk. Vi måtte trække os fuldstændig fra det, ikke. Så, ja.","Yes, yes, I had an experience some time ago in Frederiksberg, with a psychiatric patient, and we didn't know he was a psychiatric patient because he came from another outpatient clinic. So, it didn't indicate that he was a psychiatric patient. Things went completely sideways, but it was actually my colleague who was with the patient, and I was doing something else because none of us knew what kind of patient he was. It went completely wrong, and we actually had to run away because he went completely berserk, you know. So, it was quite dramatic. We had to completely withdraw from the situation, you know.","Так, так, я мав досвід якийсь час тому у Фредеріксберзі, з психіатричним пацієнтом, і ми не знали, що він психіатричний пацієнт, тому що він прийшов з іншої поліклініки. Це не дозволило нам ідентифікувати його як психіатричного пацієнта. Справи пішли кепсько.  Насправді із пацієнтом був мій колега, а я займалася чимось іншим, тому що ніхто з нас не знав, що це був за пацієнт. Все пішло абсолютно не так, і нам фактично довелося втікати, тому що він повністю втратив розум, ви розумієте. Так що це було досить драматично. Нам довелося повністю самоусунутися, ви розумієте."
"Så der kunne du godt mærke, at, der var der ikke noget at gøre sådan rent kommunikationsmæssigt?","So, in that situation, you could feel that there was nothing to do in terms of communication?","Так, у тій ситуації ви відчули, що в комунікації нічого не можна було зробити?"
"Ikke med ham der, nej, altså han har jo haft en eller anden psykose af en eller andet. Så på det punkt, der kunne vi ikke have gjort noget anderledes, altså, der var det helt klart afdelingens opgave at informere os om hvilken type patient vi havde. Det var der ikke nogen af os, der var klar over, at han var psykiatrisk. Han var faktisk tidligere blevet afvist i MR, fordi han var psykiatrisk patient, og var gået amok derinde. Det vidste vi så ikke i CT. Så lige den situation, der var kunne vi ikke rigtig gøre noget.","Not with him, no, I mean, he had some kind of psychosis or something. So in that aspect, there was nothing different we could have done. I mean, it was clearly the responsibility of the department to inform us about the type of patient we had. None of us were aware that he was psychiatric. He had actually been rejected for an MRI earlier because he was a psychiatric patient and had gone crazy in there. We didn't know that in CT. So, in that particular situation, we couldn't really do anything.","Не з ним, ні, я маю на увазі, він мав якись психоз чи щось подібне. Так що з цього погляду нічого іншого ми не могли б зробити. Маю на увазі, очевидно, відділення мало би повідомити нас про тип пацієнта, з яким ми працюємо. Ніхто з нас не знали, що він був психіатричним. На MRI його відхилили раніше, тому що він був психіатричним пацієнтом, і він там теж зчинив божевілля. Ми не знали цього в CT. Так що в цій конкретній ситуації ми насправді не могли нічого зробити."
Er der nogle særlige tidspunkter hvor du forbereder mødet med en patient med tanker på kommunikationen?,Are there any specific times when you prepare for a meeting with a patient with thoughts on communication?,"Чи є які-небудь конкретні моменти, коли ви готуєтеся до зустрічі з пацієнтом з думками про комунікацію?"
"Mmm, nej, altså hvis vi har tid til at læse op på nogle af patienterne, så kan man godt gøre sig nogle ideer om, og nogle tanker om hvad det er for en type patient, man får ind, men øhm. Hvis det er en der er meget syg, at man så prøver at møde det menneske, hvor det er, eller prøve at lure det af, men egentlig gør jeg ikke nogle vildt dybe tanker om det. Jeg prøver at møde alle med respekt, øhm, men de få gange vi har tid til at undersøge nærmere, patienterne, så øhm, så gør man sig da lidt flere tanker om hvad det er for en, man får ind.","Hmm, no, well, if we have time to read up on some of the patients, you can get some ideas and thoughts about what type of patient you're dealing with, but um. If it's someone who is very ill, you try to meet the person where they are or try to figure it out, but generally, I don't make very deep thoughts about it. I try to meet everyone with respect, um, but the few times we have time to investigate further, patients, then um, then you do think a bit more about what kind of patient you're dealing with.","Якщо у нас є час почитати про деяких пацієнтів,  можна зрозуміти, з яким типом пацієнта ми маємо справу. Якщо це хтось дуже хворий, ви намагаєтеся зустріти людину там, де вона перебуває зараз, або спробувати розібратися детальніше, але, взагалі, я не дуже замислююся про це. Я намагаюся зустріти  кожного з повагою. Але іноді, коли у тебе є час з'ясувати обставини пацієнтів, тоді трохи більше замислюєшся про те, з яким типом пацієнта маєш справу."
"Nu nævner du ord som tid og så videre - kan du godt skærpe din kommunikation, altså ændre den på grund af tidspres?","Now you mention words like time and so on - can you sharpen your communication, change it due to time pressure?","Ви згадали про час - чи можете ви вдосконалити свою комунікацію, змінити її, якщо часу бракує?"
"Ja. Jo, altså 100, hvis jeg har tre liggende ude på gangen og jeg har en der snakker derudaf, kan jeg godt finde på at cutte dem af, og sige “jeg kan godt mærke du har meget på hjerte, men jeg har tre andre på gangen, jeg bliver nødt til at afslutte her”. Det er super, super pres at lukke folk af på den måde.","Yes. Well, 100%, if I have three patients waiting in the hallway and one is talking extensively, I might cut them off and say, ""I can see you have a lot on your mind, but I have three others waiting, I need to wrap up here."" It's super, super stressful to cut people off in that way.","Так. 100%. Якщо у мене три пацієнти чекають в коридорі, і один говорить дуже багато, я можу його перервати і сказати: ""Я бачу, що у вас багато на думці, але на мене чекають іще троє, ми із вами повинні  закінчити"". Це дуже, дуже стресово переривати людей таким чином."
Ja,Yes,Так
"Ja. Det tænkte vi også lidt på, det der med, hvad det er for nogle områder og hvad for nogle krav der er til kommunikationen. Når du så er under tidspres, og så videre, er der så nogle specifikke ting, fx i forbindelse med CT, nogle specifikke ting du har meget fokus på i forhold til at nå indenfor den korte tid til kommunikation? ","Yes. We also thought a bit about, you know, what areas and what requirements there are for communication. When you're under time pressure, and so on, are there any specific things, for example, in connection with CT scans, that you focus on a lot in terms of communication within the short time?","Так. Ми також трохи думали над тим, які області і які вимоги є для комунікації. Коли бракує часу, наприклад, чи є якісь конкретні речі, у зв'язку з КТ скануваннями, на яких ви великою мірою фокусуєтеся  з точки зору комунікації в умовах браку часу?"
"e relevante oplysninger, jeg skal bruge, for at lave en ordentlig undersøgelse. Det er det, der så er mit fokus. Altså identifikation, spørge ind til kontraindikationer, holde vejret, hvornår de skal holde vejret, altså det er meget få sætninger, der bliver udvekslet. Fordi man har et pres der.","he relevant information I need to perform a proper examination. That's where my focus lies. Like identification, asking about contraindications, holding breath, when they should hold breath, I mean, it's very few sentences that are exchanged. Because there's pressure.","Вся необхідна інформація, яку я потребую для правильного обстеження. На цьому я фокусуюся. Наприклад, ідентифікація, запитання про протипоказання, затримка подиху, коли вони повинні затримати подих. Ми обмінюємося лише кількома реченнями. Тому що часу нема."
"Så, i forhold til sådan en CT scanning, med kontrast og så videre, er det så især de der ting, der kan være nogle konsekvenser for patienterne, som du er meget opmærksom på?","So, regarding a CT scan, with contrast and so on, are those especially the things, consequences for the patients, that you are very attentive to?","Щодо КТ сканування з контрастом, чи є тут щось особливе, наслідки для пацієнтів, яким ви приділяєте багато уваги?"
"Ja, jeg siger altid altså, at når de får kontrasten, så bliver de varme i kroppen, og det kan være virkelig ubehageligt, de kan få dårlig smag i munden, og man får en fornemmelse af at man skal tisse. Man bliver varm i blæren. Det er jeg altid opmærksom på at fortælle. Men også fordi det kan have en konsekvens for min scanning, hvis patienten bliver forskrækket derinde, så helt sikkert.","Yes, I always say, when they receive the contrast, they'll feel warm in the body, and it can be really uncomfortable, they can get a bad taste in their mouth, and they might feel like they need to urinate. They get warm in the bladder. I'm always mindful to mention that. But also because it can have consequences for my scan if the patient gets startled in there, for sure.","Так, я завжди кажу, коли вони отримують контраст, вони відчують тепло в тілі, і це може бути дуже неприємно, вони можуть відчути поганий смак у роті, і вони можуть відчувати потребу у сечовипусканні. Їх сечовий міхур стає теплішим. Я ніколи не забуваю попередити про це. АОдна з причин -  це може відбитися на скануванні, якщо пацієнт перелякається там, безперечно."
Ja,Yes.,Так.
"Hvad så med din kommunikation med patienter som ikke er dansktalende eller engelsktalende eller ej, er der nogle udfordringer du oplever der?","What about your communication with patients who are not Danish-speaking or English-speaking, are there any challenges you experience there?","Як нарахунок вашої комунікації з пацієнтами, які не розмовляють на датській чи англійській мові, чи є там які-небудь складнощі, з якими ви стикаєтеся?"
"Ja bestemt. Bestemt, hvis der ikke er tolk med. Nu er vi heldigvis meget multinationale her, altså, så som regel kan man finde en kollega der kan oversætte. Men vi er da ude i at det bliver med tegnsprog og fagter. Og ellers, nogle gange bliver vi nødt til at aflyse undersøgelser. Der er simpelthen nogle ting vi skal vide om patienterne. Og hvis de ikke har nogle pårørende med, der ikke kan oversætte, så øhm, så kan det jo ikke lade sig gøre at udføre en undersøgelse. Men jo, vi er mega, altså, udfordret i kommunikationen med udenlandske patienter. Det er tit de kommer uden tolk, og så står man der. Og så er det pårørende, der skal oversætte, som måske ikke ved, hvad alle de her ord på dansk betyder, som jeg står og siger. Så det er vi meget udfordret af, synes jeg.","Yes, certainly. Certainly, if there's no interpreter present. Luckily, we are very multinational here, so usually, you can find a colleague who can translate. But sometimes, it's sign language and gestures. And sometimes, we have to cancel examinations. There are simply some things we need to know about the patients. And if they don't have any relatives who can translate, then, um, it's not possible to perform an examination. But yeah, we are mega, I mean, challenged in communicating with foreign patients. They often come without an interpreter, and then you're standing there. And then it's the relatives who have to translate, who may not know what all these words in Danish mean that I'm saying. So, I find that very challenging.","Так, безумовно. Безумовно, якщо немає перекладача. На щастя, у нас тут дуже багатонаціональний склад, тому зазвичай можна знайти колегу, який може перекласти. Іноді це жестова мова і просто жестикуляція. Іноді нам доводиться скасовувати обстеження. Просто є деякі речі, які нам потрібно знати про пацієнтів. І якщо в них немає родичів, які можуть перекладати, то неможливо провести обстеження. Але так, ми маємо великі проблеми з комунікацією з іноземними пацієнтами. Вони часто приходять без перекладача, і тоді ви стоїте там. І тоді родичі повинні перекладати, які можливо не знають, що означають всі ці слова датської мови, які я говорю. Тому я вважаю це дуже складним."
"Hvad med dig i sådan en situation, kan du gestikulere meget, eller bruge visuelle hjælpemidler, eller?","What about you in such a situation, do you gesture a lot, or use visual aids, or?","Як ви дієте у такій ситуації, ви багато жестікулюєте, чи використовуєте візуальні засоби?"
"Altså, vi er nogle gange ude i at bruge Google Translate, men altså det. Hvis det er en undersøgelse uden kontrastvæske, så har jeg ikke noget imod at vi bruger Google Translate. Problemet er, hvis de får en reaktion på det, de får, efterfølgende, fordi så kan de ikke fortælle mig, hvad det er de fejler. Eller hvad de mærker. Så det er jeg helt imod at vi bruger.","Well, sometimes we resort to using Google Translate, but, um, that. If it's an examination without contrast fluid, then I don't mind using Google Translate. The problem is if they have a reaction to what they receive afterward because then they can't tell me what's wrong. Or what they're feeling. So I am completely against using it.","Іноді ми вдаємося до використання Google Translate. Якщо це обстеження без контрастної рідини, тоді я не проти використовувати Google Translate. Проблема в тому, якщо вони мають реакцію на те, що вони отримали потім, тому що тоді вони не можуть мені сказати, що не так. Чи що вони відчувають. Так що я абсолютно проти його використання."
Det er du imod?,You're against that?,Ви проти цього?
"Ja, hvis vi giver kontrast. Det er simpelthen for farligt, hvis patienten bliver dårlig efterfølgende.","Yes, if we give contrast. It's simply too dangerous if the patient feels unwell afterward.","Так, якщо ми даємо контраст. Це просто занадто небезпечно, якщо пацієнт почувається погано після цього."
"Okay, ja.","Okay, yeah.","Добре, так."
"Fordi man kan jo, altså, hæve op i sit svælg, og så kan man jo ikke sige til mig, hvad man fejler, hvad der er galt, fordi man så skal skrive det på en telefon, ikke.","Because you can, um, swell up in your throat, and then you can't tell me what's wrong, what's going on because then you have to write it on a phone, you know.","Тому що може виникнути наприклад набряк горла, і тоді ви не можете мені сказати, що не так, що відбувається, тому що вам доведеться писати це в телефоні."
"Det med at du har oplevet at man skal aflyse undersøgelser, også i CT og så videre, er det når du ikke føler dig sikker?","The part where you've experienced having to cancel examinations, also in CT and so on, is that when you don't feel confident?","Той ваш досвід скасування обстежень, також у КТ, чи це тоді, коли ви не відчуваєте себе впевнено?"
"Ja, 100 procent. Også bare det at spørge ind til om de har allergier, altså de skal kunne fortælle mig, man aner ikke hvad en multiallergiker er for en. Specielt når det er nogle der, ikke har prøvet det før. Det er altid i samråd med en læge, der skal tage beslutningen, selvfølgelig, men jeg er meget modstander af at sprøjte noget ind i folk, som man ikke kan kommunikere med. Øhm. Med mindre der står en læge ved siden af mig, som så tager beslutningen. ","Yes, 100 percent. Also just asking about allergies, I mean, they should be able to tell me, you have no idea what a multi-allergic person is like. Especially when it's someone who hasn't tried it before. It's always in consultation with a doctor who has to make the decision, of course, but I am very opposed to injecting something into people with whom you cannot communicate. Um. Unless there's a doctor standing next to me who then makes the decision.","Так, на 100 відсотків. Також просто запитання про алергії, я маю на увазі, вони повинні мати змогу мені сказати. Ви не уявляєте, як виглядає  людина, в якої багато алергій. Особливо коли це той, хто ще не пробував це раніше. Завжди потрібна консультація з лікарем, який повинен приймати рішення, звичайно, але я дуже проти того, щоб щось вводити людям, з якими не можливо спілкуватися.  Крім випадків, коли поруч зі мною стоїть лікар, який приймає рішення."
"Hvad er din erfaring med at, det med in-house tolkning, kan du mærke at undersøgelsen ændrer sig? Bliver patienten mere tryg i det, når du henter en kollega, der kan sproget?","What is your experience with in-house interpretation, can you tell if the examination changes? Does the patient feel more at ease when you bring in a colleague who speaks the language?","Який у вас досвід із внутрішніми перекладачами, ви можете сказати, що обстеження змінюється? Чи почувається пацієнт спокійніше, коли ви приводите колегу, який говорить його мовою?"
"Ja, det er da noget helt andet. Så er der bare en eller anden forståelse, det, så synes jeg det bliver meget fint. Hvis det er en kollega der kan fortælle. Fordi kollegaen også ved hvad der går ud på. Fordi, hvis det er en tolk der kommer ude fra, så er det jo måske en, der slet ikke ved hvad der foregår.","Yes, it's completely different. Then there's just some understanding, I find it very nice. If it's a colleague who can explain. Because the colleague also knows what it's all about. Because if it's an interpreter from outside, it might be someone who has no idea what's going on.","Так, це зовсім інше. Тоді є порозуміння, це дуже приємно, коли є колега, який може дати пояснення. Тому що колега також знає, про що йдеться. Бо перекладач ззовні може просто не розуміти, що відбувається."
"Mmh, ja.","Mmh, yeah.","Ммм, так."
Har du oplevet forskellig kvalitet af tolke så? Er det familie og så videre?,Have you experienced different qualities of interpreters then? Are they family and so on?,Чи ви стикалися із перекладачами різної якості? Членами родини і так далі?
"Ja, altså nogle kommer jo med pårørende, som ikke forstår medicinsk fagsprog, altså og hvad vi laver. Det kan være svært for dem at forklare til en pårørende, hvis de ikke selv forstår, hvad det er, jeg står og siger til dem. Kontra, hvis det er en medicinsk tolk, eller jeg ved ikke hvad der hedder, hvis det er en fra hospitalsvæsenet, der er lidt anderledes kvaliteter der, ja. Men jeg oplever da tit, at jeg føler jeg står og siger det jeg skal sige, og så står de alligevel og kigger på mig, og sådan, har måske så ikke forstået hvad jeg har sagt. Men jeg kan jo ikke vide hvad de siger til patienten, om det så er noget helt andet.","Yes, well, some come with relatives who don't understand medical jargon, I mean, and what we do. It can be difficult for them to explain to a relative if they don't understand what I'm saying to them. Conversely, if it's a medical interpreter, or I don't know what they're called, if it's someone from the hospital system, there are slightly different qualities there, yeah. But I often feel that I'm saying what I need to say, and then they're still looking at me, and like, maybe they didn't understand what I said. But I can't know what they're telling the patient, whether it's something completely different.","Так, ну, дехто приходить з родичами, які не розуміють медичних термінів, того, що ми робимо. Їм може бути важко пояснити щось своєму родичу, якщо вони самі не розуміють, що я їм кажу. В іншому випадку, якщо це медичний перекладач, або я не знаю, як їх називають, якщо це ктось з лікарні, якість дещо інша, так. Але я часто відчуваю, що я говорю те, що я повинна сказати, але вони все одно дивляться на мене так, ніби не зрозуміли, що я сказала. Але ж  я не можу знати, що вони говорять пацієнтові, може щось взагалі інше."
"Mmmh, ja.","Mmmh, yeah.","Ммм, так."
"Hvad hvis det så er, hvis vi bevæger os væk fra de sproglige vanskeligheder, er der så nogle kulturelle eller religiøse forskelle mellem dig og patienten, der også kan have indflydelse på jeres kommunikation med hinanden?","What if, moving away from the linguistic difficulties, are there any cultural or religious differences between you and the patient that can also influence your communication with each other?","Якщо облишити мовні складнощі, чи є якісь культурні або релігійні різниці між вами та пацієнтом, які також можуть впливати на вашу комунікацію один з одним?"
