danish,english,ukranian
Har du arbejdet med metalværktøj?,Have you worked with metal tools?,Чи працювали ви з металевими інструментами?
Har du arbejdet med metalfremstilling?,Have you worked in metal manufacturing?,Чи працювали ви у металургійному виробництві?
"Har du haft et job, der involverede metalgenstande?",Have you had a job involving metal objects?,"Чи була у вас робота, пов'язана з металевими предметами?"
Har du erfaring med metalrelateret arbejde?,Do you have experience with metal-related work?,Чи є у вас досвід роботи з металом?
Har du tidligere arbejdet med smedning?,Have you previously worked with forging?,Чи працювали ви раніше з куванням металу?
Har du håndteret metalmaterialer?,Have you handled metal materials?,Чи мали ви справу з металевими матеріалами?
"Har du haft et job, der krævede kendskab til metal?",Have you had a job requiring knowledge of metal?,"Чи була у вас робота, яка вимагала знання металу?"
Har du arbejdet med metalprodukter før?,Have you worked with metal products before?,Чи працювали ви раніше з металевими виробами?
Har du haft beskæftigelse inden for metalbranchen?,Have you had employment in the metal sector?,Чи працювали ви в металургійному секторі?
Har du erfaring med metal arbejde?,Do you have experience with metal work?,У вас є досвід роботи з металом?
"Har du haft et job, der involverede metalhåndtering?",Have you had a job involving metal handling?,"Чи була у вас робота, пов'язана з роботою з металом?"
"Har du haft arbejde, der krævede brug af metalværktøj?",Have you had work requiring the use of metal tools?,"Чи була у вас робота, яка вимагала використання металевих інструментів?"
Har du nogensinde fået metal i øjet?,Have you ever had metal in your eye?,Вам коли-небудь потрапляв метал в око?
Har du nogensinde fået metalsplinter i øjet?,Have you ever had metal splinters in your eye?,У вас коли-небудь були металеві уламки в оці?
Har du nogensinde oplevet at få metalsplinter i øjnene?,Have you ever experienced getting metal splinters in your eyes?,Вам коли-небудь потрапляли металеві уламки в очі?
Er du nogensinde blevet udsat for metalsplinter i øjnene?,Have you ever been exposed to metal splinters in your eyes?,Вам коли-небудь потрапляли металеві уламки в очі?
Har du nogensinde haft en metalsplint i øjet?,Have you ever had a metal splinter in your eye?,У вас коли-небудь був металевий уламок в оці?
Er du bekendt med at få metalsplinter i dine øjne?,Are you familiar with getting metal splinters in your eyes?,Вам доводилось стикатись з металевими уламками в очах?
Har du nogensinde haft behov for at fjerne en metalsplint fra dit øje?,Have you ever needed to remove a metal splinter from your eye?,Вам коли-небудь доводилося видаляти металеві скалки з ока?
"Har du nogensinde fået en metalsplint i øjet, der krævede medicinsk behandling?",Have you ever had a metal splinter in your eye that required medical treatment?,"Вам коли-небудь потрапляв в око металевий уламок, що вимагало медичної допомоги?"
Er du bekendt med risikoen ved at få metalsplinter i dine øjne?,Are you aware of the risk of getting metal splinters in your eyes?,Чи знаєте ви про ризик отримання металевих уламків очі?
"Har du oplevet nogen situationer, hvor du var i fare for at få metalsplinter i dine øjne?",Have you experienced any situations where you were at risk of getting metal splinters in your eyes?,"Чи були у вас ситуації, в яких вам могли потрапити металеві уламки в очі?"
Er du bekymret for at få metalsplinter i øjnene under visse aktiviteter?,Are you concerned about getting metal splinters in your eyes during certain activities?,Чи турбує вас ризик потрапляння металевих уламків в очі під час певних видів діяльності?
"Har du nogensinde haft en situation, hvor du skulle beskytte dine øjne mod metalsplinter?",Have you ever been in a situation where you needed to protect your eyes from metal splinters?,"Ви коли-небудь були в ситуації, коли вам потрібно було захистити очі від металевих уламків?"
Har du nogen piercinger?,Do you have any piercings?,У вас є який-небудь пірсинг?
Er du piercet?,Are you pierced?,Ви носите пірсинг?
Har du fået piercinger?,Have you gotten piercings?,Ви робили пірсинг?
Bærer du nogen piercinger?,Do you wear any piercings?,Ви носите який-небудь пірсинг?
Har du nogen piercinger placeret på din krop?,Do you have any piercings on your body?,Чи є у вас пірсинг на тілі?
Har du piercinger et sted på din krop?,Do you have piercings anywhere on your body?,Чи є у вас пірсинг у будь-якому місці тіла?
Har du nogen piercinger i øjeblikket?,Do you currently have any piercings?,Чи є у вас зараз який-небудь пірсинг?
Har du fået lavet piercinger?,Have you had piercings done?,Ви робили пірсинг?
Har du nogle piercinger?,Do you have any piercings?,Чи є у вас який-небудь пірсинг?
Bærer du nogen piercinger lige nu?,Are you wearing any piercings right now?,Чи носите ви зараз пірсинг?
Har du fået lavet nogen piercinger for nylig?,Have you recently gotten any piercings?,Чи робили ви пірсинг нещодавно?
"Har du piercinger, du plejer at bære?",Do you have piercings you usually wear?,"Чи є у вас пірсинг, який ви зазвичай носите?"
"Har du nogen piercinger, du vil nævne?",Do you have any piercings you'd like to mention?,"Чи є у вас пірсинг, про який ви хотіли б розповісти?"
"Har du piercinger, du har fået lavet?",Do you have piercings you've gotten done?,"Чи є у вас пірсинг, який ви вже зробили?"
"Har du nogen piercinger, du vil diskutere?",Do you have any piercings you'd like to discuss?,"Чи є у вас пірсинг, про який ви хотіли б поговорити?"
"Har du noget metal nogen steder, så som piercinger?","Do you have any metal anywhere, such as piercings?","Чи є у вас якийсь метал де-небудь, наприклад, пірсинг?"
"Har du noget metal på dig, for eksempel piercinger?","Do you have any metal on you, like piercings?","Чи є на вас який-небудь метал, наприклад, пірсинг?"
"Har du metal et eller andet sted på din krop, såsom piercinger?","Do you have metal anywhere on your body, such as piercings?","Чи є у вас на тілі якийсь метал, наприклад, пірсинг?"
"Er der metal på din krop, som f.eks. piercinger?","Is there metal on your body, like piercings?","Чи є на вашому тілі метал, такий як пірсинг?"
"Har du nogen form for metal på dig, såsom piercinger?","Do you have any form of metal on you, such as piercings?","Чи маєте ви на собі метал у будь-якій формі, наприклад, пірсинг?"
"Bærer du metalgenstande, såsom piercinger, et eller andet sted på din krop?","Are you wearing metal objects, like piercings, anywhere on your body?","Чи носите ви зараз металеві предмети на тілі, наприклад, пірсинг?"
"Er der metalvedhæng på din krop, som for eksempel piercinger?","Are there metal attachments on your body, such as piercings?","Чи є на вашому тілі металеві елементи, наприклад, пірсинг?"
"Har du nogen metalgenstande, såsom piercinger, placeret på din krop?","Do you have any metal objects, like piercings, located on your body?","Чи є у вас на тілі які-небудь металеві предмети, наприклад, пірсинг?"
"Har du metalimplantater, piercinger eller lignende?","Do you have metal implants, piercings, or the like?","Чи маєте ви металеві імплантати, пірсинг або щось подібне?"
Er du gravid eller kunne du være gravid?,Are you pregnant or could you be pregnant?,Ви вагітні або можете бути вагітні?
Er der nogen mulighed for at du kan være gravid?,Is there any possibility that you could be pregnant?,"Чи є можливість того, що ви вагітні?"
"Er der en chance for, at du kunne være gravid?",Is there a chance that you could be pregnant?,"Чи є ймовірність того, що ви вагітні?"
Har du overvejet muligheden for graviditet?,Have you considered the possibility of pregnancy?,Чи замислювалися ви про можливість вагітності?
Har du haft ubeskyttet sex?,Have you had unprotected sex?,У вас був незахищений статевий контакт?
"Er der en risiko for, at du kan være gravid?",Is there a risk that you could be pregnant?,"Чи є ризик того, що ви вагітні?"
Har du taget nogen præventive forholdsregler under sex?,Have you taken any preventive measures during sex?,Чи приймали ви якісь запобіжні заходи під час сексу?
"Er der en sandsynlighed for, at du kunne være gravid?",Is there a likelihood that you could be pregnant?,"Чи існує ймовірність того, що ви можете бути вагітною?"
Har du haft nogen symptomer på graviditet?,Have you experienced any pregnancy symptoms?,Чи відчували ви якісь симптоми вагітності?
"Er der en mulighed for, at du kunne være i gang med en graviditet?",Is there a possibility that you could be in the early stages of pregnancy?,"Чи існує ймовірність того, що ви можете бути на ранніх стадіях вагітності?"
"Har du oplevet nogen ændringer i din krop, der kunne indikere graviditet?",Have you experienced any changes in your body that could indicate pregnancy?,"Чи відчували ви якісь зміни у своєму тілі, які могли б свідчити про вагітність?"
Har du taget nogen graviditetstest for nylig?,Have you taken any pregnancy tests recently?,Чи робили ви останнім часом тести на вагітність?
Har du bemærket nogen forsinkelser i din menstruation?,Have you noticed any delays in your menstruation?,Чи помічали ви затримки в менструації?
"Er der en chance for, at du kan vente barn?",Is there a chance you could be expecting a baby?,"Чи є ймовірність того, що ви чекаєте дитину?"
Prøver du i øjeblikket på at blive gravid?,Are you currently trying to conceive?,Ви зараз намагаєтеся завагітніти?
Venter du et barn i øjeblikket?,Are you currently expecting a child?,Чи ви зараз очікуєте дитину?
Har du prøvet at få et barn inden for den sidste tid?,Have you tried to conceive a child recently?,Чи намагалися ви завагітніти останнім часом?
Har du diskuteret muligheden for graviditet med din partner eller en læge?,Have you discussed the possibility of pregnancy with your partner or a doctor?,Чи обговорювали ви можливість вагітності зі своїм партнером або лікарем?
Har du taget nogen skridt for at bekræfte eller udelukke en graviditet?,Have you taken any steps to confirm or rule out pregnancy?,"Чи робили ви щось, щоб підтвердити або спростувати вагітність?"
Har du haft nogen spørgsmål eller bekymringer relateret til graviditet?,Have you had any questions or concerns related to pregnancy?,"Чи виникали у вас запитання або занепокоєння, пов'язані з вагітністю?"
"Er der en mulighed for, at du kunne være i en graviditetstilstand?",Is there a possibility that you could be pregnant?,"Чи існує ймовірність того, що ви можете бути вагітною?"
Har du oplevet nogen af de almindelige tegn på graviditet?,Have you experienced any common signs of pregnancy?,Чи відчували ви якісь загальні ознаки вагітності?
Har du haft nogen ændringer i din adfærd eller livsstil med hensyn til graviditet?,Have you made any changes in your behavior or lifestyle regarding pregnancy?,Чи змінилася ваша поведінка або образ життя стосовно вагітності?
Har du haft nogen menstruationer i de sidste par måneder?,Have you had any menstruations in the last few months?,Чи були у вас менструації протягом останніх кількох місяців?
"Har du haft nogen ændringer i din krop omkring maven, du er opmærksom på?",Have you noticed any changes in your body around the abdomen that you are aware of?,"Чи помітили ви якісь зміни у вашому тілі навколо живота, про які ви знаєте?"
Har du haft nogen maveproblemer eller kvalme for nylig?,Have you had any stomach problems or nausea recently?,Чи були у вас останнім часом проблеми зі шлунком або нудота?
Føler du dig anderledes på nogen måde for tiden?,Do you feel different in any way lately?,Чи відчуваєте ви себе якось інакше останнім часом?
Har du haft nogen usædvanlige træthed eller energiforandringer?,Have you experienced any unusual fatigue or energy changes?,Чи відчували ви незвичну втому або зміни в енергійності?
Har du bemærket nogen ændringer i din appetit eller madvaner?,Have you noticed any changes in your appetite or eating habits?,Чи помітили ви зміни у своєму апетиті або звичках харчування?
Har du haft uventede vægtændringer for nylig?,Have you had unexpected weight changes recently?,Чи були у вас несподівані зміни ваги останнім часом?
Har du ændret dig kropsmæssigt de seneste måneder?,Have you undergone any bodily changes in the past few months?,Чи відбувались у вас якісь зміни в тілі за останні кілька місяців?
Har du bemærket ændringer i din søvnkvalitet eller -mønster?,Have you noticed changes in your sleep quality or pattern?,Чи помічали ви зміни в якості або характері вашого сну?
Har du haft nogen pludselige eller hyppige hovedpine?,Have you had any sudden or frequent headaches?,Чи були у вас раптові або часті головні болі?
Har du oplevet nogen muskelsmerter eller stivhed omkring bækkenområdet?,Have you experienced any muscle pains or stiffness around the pelvic area?,Чи відчували ви болі в м'язах або скутість в області тазу?
"Har du ændrede spisevaner eller mønstre, du undrer dig over?",Have you had any altered eating habits or patterns that you wonder about?,"Чи були у вас якісь зміни в режимі харчування, які вас дивують?"
Har du følt dig mere følsom over for lugte eller smag end sædvanligt?,Have you felt more sensitive to smells or tastes than usual?,"Чи відчували ви підвищену чутливість до запахів або смаків, ніж зазвичай?"
Har du bemærket ændringer i din menstruationscyklus eller -mønster?,Have you noticed changes in your menstrual cycle or pattern?,Чи помітили ви зміни у своєму менструальному циклі або характері?
Har du følt dig mere eller mindre sulten end normalt?,Do you feel more or less hungry than usual?,"Чи відчуваєте ви більший або менший голод, ніж зазвичай?"
Har du haft nogen blødning uden for din menstruationsperiode?,Have you had any bleeding outside of your menstruation period?,Чи були у вас якісь кровотечі за межами менструального циклу?
Har du blødt normalt indenfor de seneste måneder?,Have you bled normally in the past few months?,Протягом останніх кількох місяців у вас була нормальна кровотеча?
"Har du oplevet nogen symptomer, du ikke tidligere har haft kropsmæssigt?",Have you experienced any symptoms you haven't had before physically?,"Чи відчуваєте ви якісь фізичні симптоми, яких раніше не було?"
Har du øreringe på?,Are you wearing earrings?,Ви носите сережки?
Har du halskæde på?,Are you wearing a necklace?,Ви носите намисто?
Har du hårnåle i håret?,Do you have hairpins in your hair?,Ви використовуєте шпильки для волосся?
Har du noget metal i dine hårspænder?,Do you have any metal in your hairpins?,Чи є у ваших шпильках метал?
Er dine hårspænder lavet af andet materiale end metal?,Are your hairpins made of material other than metal?,"Ваші шпильки зроблені з іншого матеріалу, ніж метал?"
"Har du metalgenstande på dig, som du ikke har fjernet?",Do you have metal objects on you that you haven't removed?,"Чи є на вас металеві предмети, які ви не зняли?"
"Er der nogen metaldele i din krop, f-eks. kunstige led?","Are there any metal parts in your body, for example, artificial joints?","Чи є у вашому тілі металеві частини, наприклад, штучні суглоби?"
Har du en pacemaker?,Do you have a pacemaker?,У вас є кардіостимулятор?
har du fået indopereret en pacemaker?,Have you had a pacemaker implanted?,Чи є у вас вживлений кардіостимулятор?
Har du tidligere fået indopereret en pacemaker?,Have you previously had a pacemaker implanted?,Вам раніше імплантували кардіостимулятор?
Er der en pacemaker i din brystkasse?,Is there a pacemaker in your chest?,Чи є у вас кардіостимулятор у грудях?
Er du blevet opereret i hjertet?,Have you had heart surgery?,Вам робили операцію на серці?
Er du hjerteopereret?,Have you undergone heart surgery?,Ви перенесли операцію на серці?
Har du haft nogen former for metal indopereret i hjertet?,Have you had any types of metal implanted in your heart?,Чи є у вас в серці будь-які металеві імплантати?
Har du været hjertesyg?,Have you been heart-sick?,У вас були серцеві захворювання?
Har du noget elektronisk indsat i din brystkasse?,Do you have any electronic device inserted in your chest?,Чи є у вас в грудях який-небудь електронний пристрій?
Er der et implantat i din brystregion?,Is there an implant in your chest region?,Чи є у вас імплантат у грудній клітці?
Har du fået indopereret hjerteudstyr?,Have you had heart equipment implanted?,Вам імплантували серцеве обладнання?
Har du et hjerterytme udstyr i din brystkasse?,Do you have a heart rhythm device in your chest?,"Чи є у вас в грудях пристрій, що контролює серцевий ритм?"
"Har du en indre enhed, der overvåger dit hjertes funktion?",Do you have an internal device monitoring your heart function?,"Чи є у вас внутрішній пристрій, який контролює роботу серця?"
"Er der noget elektronisk i din krop, der kan reagere på magnetisk resonans?",Is there anything electronic in your body that could react to magnetic resonance?,"Чи є у вашому тілі щось електронне, що може реагувати на магнітний резонанс?"
"Er du opmærksom på en enhed, der regulerer din hjertefrekvens?",Are you aware of a device regulating your heart rate?,"Чи відомо вам про пристрій, який регулює ваш серцевий ритм?"
"Har du en mekanisk enhed, der understøtter din hjertefunktion?",Do you have a mechanical device supporting your heart function?,"Чи є у вас механічний пристрій, який підтримує роботу серця?"
"Er du bekendt med noget, der hjælper med at kontrollere din hjerterytme?",Are you aware of anything helping control your heart rhythm?,"Чи відомо вам про щось, що допомагає контролювати ваш серцевий ритм?"
"Har du en intern enhed, der påvirker hjertets elektriske signaler?",Do you have an internal device affecting your heart's electrical signals?,"Чи є у вас внутрішній пристрій, що впливає на електричні сигнали вашого серця?"
"Er du opmærksom på et implantat, der er placeret nær dit hjerte?",Are you aware of an implant placed near your heart?,Чи відомо вам про імплантат біля вашого серця?
Er der en pacemaker indsat i din krop?,Is there a pacemaker inserted into your body?,Чи є у вашому тілі кардіостимулятор?
Bruger du en pacemaker til at regulere dit hjerte?,Are you using a pacemaker to regulate your heart?,Чи використовуєте ви кардіостимулятор для регулювання роботи серця?
"Har du en enhed, der hjælper med at kontrollere din hjerterytme?",Do you have a device helping control your heart rhythm?,"Чи є у вас пристрій, який допомагає контролювати серцевий ритм?"
"Er der noget elektronisk i din krop, der styrer dit hjertes funktion?",Is there anything electronic in your body controlling your heart's function?,"Чи є у вашому тілі щось електронне, що контролює роботу вашого серця?"
"Har du en indvendig enhed, der overvåger dit hjertes elektriske signaler?",Do you have an internal device monitoring your heart's electrical signals?,"Чи є у вас внутрішній пристрій, який контролює електричні сигнали вашого серця?"
"Har du noget mekanisk, der støtter dit hjerte?",Do you have anything mechanical supporting your heart?,"Чи є у вас щось механічне, що підтримує ваше серце?"
"Er der en enhed, der hjælper med at holde din hjerterytme stabil?",Is there a device helping maintain your heart rate stability?,"Чи є у вас пристрій, який допомагає підтримувати стабільність серцевого ритму?"
"Har du en pacemaker, der regulerer din hjertefrekvens?",Do you have a pacemaker regulating your heart rate?,"Чи є у вас кардіостимулятор, який регулює частоту серцевих скорочень?"
Har du det ubehageligt i lukkede rum?,Do you feel uncomfortable in enclosed spaces?,Чи відчуваєте ви дискомфорт у замкнених приміщеннях?
Føler du dig utilpas i trange omgivelser?,Do you feel uncomfortable in tight environments?,Чи відчуваєте ви дискомфорт у тісному середовищі?
Har du haft svært ved at være i elevatoren?,Have you had trouble being in elevators?,Чи були у вас проблеми з перебуванням у ліфтах?
"Føler du ubehag, når du er indespærret i små rum?",Do you feel discomfort when confined in small spaces?,"Чи відчуваєте ви дискомфорт, перебуваючи в тісному приміщенні?"
Har du oplevet angst i tætpakkede situationer?,Have you experienced anxiety in crowded situations?,Чи траплялося вам хвилюватися у місцях великого скупчення людей?
Føler du dig nervøs i trange korridorer?,Do you feel nervous in tight corridors?,Чи нервуєте ви перебуваючи у вузьких коридорах?
Har du haft ubehagelige oplevelser i fyldte elevatorer?,Have you had unpleasant experiences in crowded elevators?,Чи мали ви неприємний досвід у переповнених ліфтах?
Føler du dig kvalt i små rum?,Do you feel suffocated in small spaces?,Ви відчуваєте нестачу повітря в тісному просторі?
Har du haft panik i trange områder?,Have you experienced panic in tight areas?,Чи відчували ви паніку в тісних приміщеннях?
Føler du dig indespærret i små rum?,Do you feel trapped in small spaces?,Чи відчуваєте ви себе замкненим у малих приміщеннях?
Har du svært ved at være i tætpakkede busser eller tog?,Do you have trouble being in crowded buses or trains?,Чи важко вам перебувати в переповнених автобусах або потягах?
Føler du dig ubehageligt i trange rum?,Do you feel uncomfortable in tight spaces?,Чи відчуваєте ви дискомфорт у тісних місцях?
Har du haft problemer med at være i trange områder?,Have you had problems in tight areas?,Чи виникали у вас проблеми в тісних приміщеннях?
Føler du dig kvalt i venteværelser eller forsamlinger?,Do you feel suffocated in waiting rooms or gatherings?,Чи буває вам важко дихати в залах очікування або на зустрічах?
Har du oplevet angst i trange biografsale eller teaterscener?,Have you experienced anxiety in crowded cinemas or theater scenes?,Чи відчували ви тривогу в переповнених кінотеатрах або театрах?
Føler du dig ukomfortabel i små kontorlokaler eller mødelokaler?,Do you feel uncomfortable in small office rooms or meeting rooms?,Чи відчуваєте ви дискомфорт у невеликих офісних приміщеннях або кімнатах для нарад?
Har du haft svært ved at være i overfyldte steder?,Have you had trouble being in crowded places?,Чи виникали у вас проблеми в людних місцях?
Føler du dig begrænset i tætpakkede områder?,Do you feel limited in crowded areas?,Чи відчуваєте ви себе обмеженим у людних місцях?
Har du oplevet ubehag i tætpakkede områder med mange mennesker?,Have you experienced discomfort in crowded areas with many people?,Чи відчуваєте ви дискомфорт у місцях великого скупчення людей?
Føler du dig klaustrofobisk i små rum?,Do you feel claustrophobic in small spaces?,Чи відчуваєте ви клаустрофобію в малих приміщеннях?
Har du haft panik i trange elevatorer?,Have you panicked in tight elevators?,Чи панікували ви у тісних ліфтах?
Føler du dig indespærret i trange rum?,Do you feel trapped in tight spaces?,Чи відчуваєте ви себе у пастці в тісному просторі?
Har du svært ved at være i tætpakkede køer eller linjer?,Do you have trouble being in crowded queues or lines?,Чи відчуваєте ви труднощі в переповнених чергах?
Føler du dig nervøs i trange trappeopgange eller korridorer?,Do you feel nervous in tight stairwells or corridors?,Чи нервуєте ви на тісних сходових клітках або в коридорах?
Har du oplevet angst i trange eller små rum?,Have you experienced anxiety in tight or small spaces?,Чи відчуваєте ви тривогу в тісному або обмеженому просторі?
Føler du ubehag i offentlig trafik med mange mennesker?,Do you feel uncomfortable in public transport with many people?,Чи відчуваєте ви дискомфорт у громадському транспорті де багато людей?
Har du haft problemer med at være i trange rum som elevatorer eller smalle rum?,Have you had problems being in tight spaces like elevators or narrow rooms?,"Чи виникали у вас проблеми з перебуванням у тісному просторі, наприклад, у ліфті чи вузькому приміщенні?"
Føler du dig ukomfortabel i tætpakkede værelser?,Do you feel uncomfortable in crowded rooms?,Чи відчуваєте ви дискомфорт у переповнених приміщеннях?
Har du haft svært ved at være i tætpakkede steder?,Have you had trouble being in crowded places?,Чи виникали у вас проблеми в багатолюдних місцях?
Føler du dig klaustrofobisk i trange parkeringshuse eller parkeringspladser?,Do you feel claustrophobic in tight parking lots or parking spaces?,Чи відчуваєте ви клаустрофобію на тісних парковках або стоянках?
Har du oplevet ubehag i tætpakkede sale eller andet trangt område,Have you experienced discomfort in crowded halls or other tight areas?,Чи відчуваєте ви дискомфорт у переповнених залах або інших тісних приміщеннях?
Har du haft panik i tætpakkede koncerter eller festivaler?,Have you panicked in crowded concerts or festivals?,Чи панікували ви на переповнених концертах або фестивалях?
Føler du dig nervøs i tætpakkede forsamlinger?,Do you feel nervous in crowded gatherings?,Чи нервуєте ви на багатолюдних зібраннях?
Har du oplevet angst i tætpakkede indkøbscentre?,Have you experienced anxiety in crowded shopping malls?,Чи відчували ви тривогу в багатолюдних торгових центрах?
Føler du dig ubehageligt i tætpakkede busser?,Do you feel uncomfortable in crowded buses?,Чи відчуваєте ви дискомфорт у переповнених автобусах?
Har du haft svært ved at være i tætpakkede arrangementer?,Have you had trouble being in crowded events?,Чи виникали у вас проблеми на багатолюдних заходах?
Føler du dig ukomfortabel i tætpakkede områder?,Do you feel uncomfortable in crowded areas?,Чи відчуваєте ви дискомфорт у багатолюдних місцях?
Har du haft problemer med at være i tætpakkede områder?,Have you had problems being in crowded areas?,Чи виникали у вас проблеми з перебуванням у багатолюдних місцях?
Føler du dig klaustrofobisk i tætpakkede områder?,Do you feel claustrophobic in crowded areas?,Чи відчуваєте ви клаустрофобію в багатолюдних місцях?
Har du oplevet angst i tætpakkede steder eller områder?,Have you experienced anxiety in crowded places or areas?,Чи відчували ви занепокоєння в місцях великого скупчення людей?
Føler du dig indespærret i tætpakkede stedet eller områder?,Do you feel trapped in crowded places or areas?,Чи відчуваєте ви себе замкненим у людних місцях чи приміщеннях?
Føler du dig nervøs i tætpakkede områder eller rum?,Do you feel nervous in crowded areas or rooms?,Чи нервуєте ви в багатолюдних місцях або приміщеннях?
Føler du dig ubehageligt i tætpakkede rum?,Do you feel uncomfortable in crowded rooms?,Чи відчуваєте ви дискомфорт у переповнених приміщеннях?
Har du nogen allergier?,Do you have any allergies?,Чи є у вас алергія?
Er du allergisk over for noget?,Are you allergic to anything?,Чи є у вас алергія на що-небудь?
Har du nogen kendte allergier?,Do you have any known allergies?,Чи знаєте ви про наявність у вас алергії?
Har du oplevet allergiske reaktioner før?,Have you experienced allergic reactions before?,Чи ви мали алергічні реакції раніше?
"Er der noget, du ikke kan tåle på grund af allergi?",Is there anything you cannot tolerate due to allergies?,"Чи є щось, що ви не можете переносити через алергію?"
Har du haft allergiske symptomer tidligere?,Have you had allergic symptoms before?,Чи були у вас раніше алергічні симптоми?
"Er der stoffer eller fødevarer, du skal undgå på grund af allergier?",Are there substances or foods you need to avoid due to allergies?,"Чи є речовини або продукти, яких вам потрібно уникати через алергію?"
Har du nogensinde haft allergiske reaktioner på medicin?,Have you ever had allergic reactions to medication?,Чи були у вас коли-небудь алергічні реакції на ліки?
Har du oplevet allergiske symptomer som hævelse eller kløe?,Have you experienced allergic symptoms such as swelling or itching?,"Чи були у вас алергічні симптоми, такі як набряк або свербіж?"
"Har du nogensinde haft allergiske reaktioner, såsom hævelse eller kløe?","Have you ever had allergic reactions, such as swelling or itching?","Чи були у вас коли-небудь алергічні реакції, такі як набряк або свербіж?"
