danish,english,ukranian
Er der blevet sat metal ind dig i udlandet?,Has metal been inserted into you abroad?,Чи вам коли-небудь вводили метал за межами вашої країни?
Har du fået metalimplantater i udlandet?,Have you had metal implants abroad?,Чи отримували вам металеві імплантати за кордоном?
Har du modtaget metalindsættelse i udlandet?,Have you received metal insertion abroad?,Чи отримували вам введення металу за кордоном?
Er der blevet indsat metalgenstande i din krop i udlandet?,Have metal objects been inserted into your body abroad?,Чи вам коли-небудь вводили металеві предмети в тіло за кордоном?
Har du fået metal sat ind i dig mens du var i udlandet?,Have you had metal inserted into you while abroad?,Чи вам вводили метал за кордоном?
"Har du arbejdet som smed, eller andet arbejdet der involverer metalsplinter?","Have you worked as a blacksmith, or in any other job involving metal splinters?","Чи ви коли-небудь працювали кузнецем або на будь-якій іншій роботі, пов'язаній з металевими стружками?"
Har du arbejdet med metal før?,Have you worked with metal before?,Чи ви коли-небудь працювали з металом раніше?
"Har du haft beskæftigelse, der involverede metal?",Have you had employment involving metal?,"Чи мали ви зайняття, пов'язані з металом?"
Har du håndteret metal i dit tidligere arbejde?,Have you handled metal in your previous job?,Чи ви раніше мали справу з металом на попередній роботі?
"Har du erfaring med arbejde, der krævede metalhåndtering?",Do you have experience with work involving metal handling?,Чи маєте ви досвід роботи з металом?
Har du arbejdet med metalsplinter?,Have you worked with metal splinters?,Чи ви коли-небудь працювали з металевими стружками?
Har du tidligere arbejdet med metalprodukter?,Have you previously worked with metal products?,Чи ви коли-небудь працювали з металевими виробами раніше?
"Har du haft et job, der omfattede metalbearbejdning?",Have you had a job involving metal processing?,"Чи мали ви роботу, пов'язану з обробкою металу?"
Har du haft beskæftigelse inden for metalindustrien?,Have you had employment in the metal industry?,Чи ви мали зайняття в металургійній промисловості?
Har du arbejdet med metalværktøj?,Have you worked with metal tools?,Чи працювали ви з металевими інструментами?
Har du arbejdet med metalfremstilling?,Have you worked in metal manufacturing?,Чи ви працювали в металургійному виробництві?
"Har du haft et job, der involverede metalgenstande?",Have you had a job involving metal objects?,"Чи мали ви роботу, де використовували металеві предмети?"
Har du erfaring med metalrelateret arbejde?,Do you have experience with metal-related work?,"Чи маєте ви досвід роботи, пов'язаної з металом?"
Har du tidligere arbejdet med smedning?,Have you previously worked with forging?,Чи раніше ви працювали з ковківством?
Har du håndteret metalmaterialer?,Have you handled metal materials?,Чи ви працювали з металевими матеріалами?
"Har du haft et job, der krævede kendskab til metal?",Have you had a job requiring knowledge of metal?,"Чи маєте ви роботу, що потребує знань про метал?"
Har du arbejdet med metalprodukter før?,Have you worked with metal products before?,Чи працювали ви з металевими виробами раніше?
Har du haft beskæftigelse inden for metalbranchen?,Have you had employment in the metal sector?,Чи мали ви зайняття в металургійному секторі?
Har du erfaring med metal arbejde?,Do you have experience with metal work?,Ви маєте досвід роботи з металом?
"Har du haft et job, der involverede metalhåndtering?",Have you had a job involving metal handling?,Чи працювали ви з металом на роботі?
"Har du haft arbejde, der krævede brug af metalværktøj?",Have you had work requiring the use of metal tools?,Чи ви працювали з металевими інструментами?
Har du nogensinde fået metal i øjet?,Have you ever had metal in your eye?,Чи вам коли-небудь потрапляв метал у очі?
Har du nogensinde fået metalsplinter i øjet?,Have you ever had metal splinters in your eye?,Чи коли-небудь ви отримували металеві скалки у очі?
Har du nogensinde oplevet at få metalsplinter i øjnene?,Have you ever experienced getting metal splinters in your eyes?,"Чи ви коли-небудь переживали ситуацію, коли металеві скалки потрапили вам у очі?"
Er du nogensinde blevet udsat for metalsplinter i øjnene?,Have you ever been exposed to metal splinters in your eyes?,"Чи ви коли-небудь були в обстановці, коли металеві скалки потрапляли вам у очі?"
Har du nogensinde haft en metalsplint i øjet?,Have you ever had a metal splinter in your eye?,Чи вам коли-небудь потрапляв металевий шматочок у очі?
Er du bekendt med at få metalsplinter i dine øjne?,Are you familiar with getting metal splinters in your eyes?,"Чи ви ознайомлені з тим, як потрапляють металеві скалки у очі?"
Har du nogensinde haft behov for at fjerne en metalsplint fra dit øje?,Have you ever needed to remove a metal splinter from your eye?,Чи коли-небудь доводилося вам видаляти металеві скалки з очей?
"Har du nogensinde fået en metalsplint i øjet, der krævede medicinsk behandling?",Have you ever had a metal splinter in your eye that required medical treatment?,"Чи ви коли-небудь мали металеву скалку в очі, яка вимагала медичної допомоги?"
Er du bekendt med risikoen ved at få metalsplinter i dine øjne?,Are you aware of the risk of getting metal splinters in your eyes?,Чи ви усвідомлюєте ризик отримання металевих скалок у очі?
"Har du oplevet nogen situationer, hvor du var i fare for at få metalsplinter i dine øjne?",Have you experienced any situations where you were at risk of getting metal splinters in your eyes?,"Чи ви зазнали ситуацій, коли були у ризику отримати металеві скалки у очі?"
Er du bekymret for at få metalsplinter i øjnene under visse aktiviteter?,Are you concerned about getting metal splinters in your eyes during certain activities?,Чи ви стурбовані можливістю потрапити металеві скалки у очі під час певних дій?
"Har du nogensinde haft en situation, hvor du skulle beskytte dine øjne mod metalsplinter?",Have you ever been in a situation where you needed to protect your eyes from metal splinters?,Чи коли-небудь вам доводилося захищати свої очі від металевих скалок?
Har du nogen piercinger?,Do you have any piercings?,Чи у вас є пірсинги?
Er du piercet?,Are you pierced?,Чи ви маєте пірсинг?
Har du fået piercinger?,Have you gotten piercings?,Чи ви робили пірсинги?
Bærer du nogen piercinger?,Do you wear any piercings?,Чи ви носите які-небудь пірсинги?
Har du nogen piercinger placeret på din krop?,Do you have any piercings on your body?,Чи у вас є пірсинги на вашому тілі?
Har du piercinger et sted på din krop?,Do you have piercings anywhere on your body?,Чи у вас є пірсинги де-небудь на вашому тілі?
Har du nogen piercinger i øjeblikket?,Do you currently have any piercings?,Чи у вас наразі є які-небудь пірсинги?
Har du fået lavet piercinger?,Have you had piercings done?,Чи ви раніше робили пірсинги?
Har du nogle piercinger?,Do you have any piercings?,Чи у вас є які-небудь пірсинги?
Bærer du nogen piercinger lige nu?,Are you wearing any piercings right now?,Чи ви зараз носите які-небудь пірсинги?
Har du fået lavet nogen piercinger for nylig?,Have you recently gotten any piercings?,Чи ви недавно робили які-небудь пірсинги?
"Har du piercinger, du plejer at bære?",Do you have piercings you usually wear?,"Чи у вас є пірсинги, які ви зазвичай носите?"
"Har du nogen piercinger, du vil nævne?",Do you have any piercings you'd like to mention?,"Чи у вас є які-небудь пірсинги, які ви хочете згадати?"
"Har du piercinger, du har fået lavet?",Do you have piercings you've gotten done?,"Чи у вас є пірсинги, які ви робили?"
"Har du nogen piercinger, du vil diskutere?",Do you have any piercings you'd like to discuss?,"Чи у вас є які-небудь пірсинги, про які ви хочете поговорити?"
"Har du noget metal nogen steder, så som piercinger?","Do you have any metal anywhere, such as piercings?","Чи у вас є метал будь-де, наприклад, пірсинги?"
"Har du noget metal på dig, for eksempel piercinger?","Do you have any metal on you, like piercings?","Чи у вас є метал на вас, наприклад, пірсинги?"
"Har du metal et eller andet sted på din krop, såsom piercinger?","Do you have metal anywhere on your body, such as piercings?","Чи у вас є метал будь-де на вашому тілі, наприклад, пірсинги?"
"Er der metal på din krop, som f.eks. piercinger?","Is there metal on your body, like piercings?","Чи на вашому тілі є метал, наприклад, пірсинги?"
"Har du nogen form for metal på dig, såsom piercinger?","Do you have any form of metal on you, such as piercings?","Чи у вас є який-небудь вид металу на вас, наприклад, пірсинги?"
"Bærer du metalgenstande, såsom piercinger, et eller andet sted på din krop?","Are you wearing metal objects, like piercings, anywhere on your body?","Чи ви носите металеві предмети, наприклад, пірсинги, будь-де на вашому тілі?"
"Er der metalvedhæng på din krop, som for eksempel piercinger?","Are there metal attachments on your body, such as piercings?","Чи є на вашому тілі металеві додатки, наприклад, пірсинги?"
"Har du nogen metalgenstande, såsom piercinger, placeret på din krop?","Do you have any metal objects, like piercings, located on your body?","Чи у вас є металеві предмети, наприклад, пірсинги, розташовані на вашому тілі?"
"Har du metalimplantater, piercinger eller lignende?","Do you have metal implants, piercings, or the like?","Чи у вас є металеві імплантати, пірсинги чи подібне?"
Er du gravid eller kunne du være gravid?,Are you pregnant or could you be pregnant?,Чи ви вагітні або можете бути вагітні?
Er der nogen mulighed for at du kan være gravid?,Is there any possibility that you could be pregnant?,"Чи існує можливість, що ви можете бути вагітні?"
"Er der en chance for, at du kunne være gravid?",Is there a chance that you could be pregnant?,"Чи є шанс, що ви можете бути вагітні?"
Har du overvejet muligheden for graviditet?,Have you considered the possibility of pregnancy?,Чи ви розглядали можливість вагітності?
Har du haft ubeskyttet sex?,Have you had unprotected sex?,Чи ви мали незахищений секс?
"Er der en risiko for, at du kan være gravid?",Is there a risk that you could be pregnant?,"Чи існує ризик того, що ви можете бути вагітні?"
Har du taget nogen præventive forholdsregler under sex?,Have you taken any preventive measures during sex?,Чи ви вживали які-небудь профілактичні заходи під час статевих відносин?
"Er der en sandsynlighed for, at du kunne være gravid?",Is there a likelihood that you could be pregnant?,"Чи є ймовірність того, що ви можете бути вагітні?"
Har du haft nogen symptomer på graviditet?,Have you experienced any pregnancy symptoms?,Чи ви мали будь-які симптоми вагітності?
"Er der en mulighed for, at du kunne være i gang med en graviditet?",Is there a possibility that you could be in the early stages of pregnancy?,"Чи існує можливість, що ви можете бути на початкових етапах вагітності?"
"Har du oplevet nogen ændringer i din krop, der kunne indikere graviditet?",Have you experienced any changes in your body that could indicate pregnancy?,"Чи ви мали будь-які зміни у вашому тілі, які можуть свідчити про вагітність?"
Har du taget nogen graviditetstest for nylig?,Have you taken any pregnancy tests recently?,Чи робили ви останнім часом які-небудь тести на вагітність?
Har du bemærket nogen forsinkelser i din menstruation?,Have you noticed any delays in your menstruation?,Чи помітили ви затримку в менструації?
"Er der en chance for, at du kan vente barn?",Is there a chance you could be expecting a baby?,"Чи є шанс, що ви очікуєте дитину?"
Prøver du i øjeblikket på at blive gravid?,Are you currently trying to conceive?,Чи зараз намагаєтеся ви зачати?
Venter du et barn i øjeblikket?,Are you currently expecting a child?,Чи зараз чекаєте ви дитину?
Har du prøvet at få et barn inden for den sidste tid?,Have you tried to conceive a child recently?,Чи намагалися ви зачати дитину недавно?
Har du diskuteret muligheden for graviditet med din partner eller en læge?,Have you discussed the possibility of pregnancy with your partner or a doctor?,Чи обговорювали ви можливість вагітності з вашим партнером або лікарем?
Har du taget nogen skridt for at bekræfte eller udelukke en graviditet?,Have you taken any steps to confirm or rule out pregnancy?,Чи вживали ви будь-які кроки для підтвердження або виключення вагітності?
Har du haft nogen spørgsmål eller bekymringer relateret til graviditet?,Have you had any questions or concerns related to pregnancy?,Чи мали ви будь-які запитання або турботи щодо вагітності?
"Er der en mulighed for, at du kunne være i en graviditetstilstand?",Is there a possibility that you could be pregnant?,"Чи є можливість, що ви вагітні?"
Har du oplevet nogen af de almindelige tegn på graviditet?,Have you experienced any common signs of pregnancy?,Чи виявлялися у вас будь-які загальні ознаки вагітності?
Har du haft nogen ændringer i din adfærd eller livsstil med hensyn til graviditet?,Have you made any changes in your behavior or lifestyle regarding pregnancy?,Чи робили ви які-небудь зміни в своєму поведінці або способі життя у зв'язку з вагітністю?
Har du haft nogen menstruationer i de sidste par måneder?,Have you had any menstruations in the last few months?,Чи мали ви менструації за останні кілька місяців?
"Har du haft nogen ændringer i din krop omkring maven, du er opmærksom på?",Have you noticed any changes in your body around the abdomen that you are aware of?,"Чи помітили ви будь-які зміни в вашому тілі в районі живота, про які ви знаєте?"
Har du haft nogen maveproblemer eller kvalme for nylig?,Have you had any stomach problems or nausea recently?,Чи мали ви будь-які проблеми зі шлунком або нудотою недавно?
Føler du dig anderledes på nogen måde for tiden?,Do you feel different in any way lately?,Чи відчуваєте ви себе по-іншому в останні часи?
Har du haft nogen usædvanlige træthed eller energiforandringer?,Have you experienced any unusual fatigue or energy changes?,Чи відчули ви будь-яку незвичайну втомленість або зміни в енергії?
Har du bemærket nogen ændringer i din appetit eller madvaner?,Have you noticed any changes in your appetite or eating habits?,Чи помітили ви будь-які зміни в апетиті або їжному звичаї?
Har du haft uventede vægtændringer for nylig?,Have you had unexpected weight changes recently?,Чи мали ви несподівані зміни ваги недавно?
Har du ændret dig kropsmæssigt de seneste måneder?,Have you undergone any bodily changes in the past few months?,Чи зазнали ви яких-небудь змін у тілі за останні кілька місяців?
Har du bemærket ændringer i din søvnkvalitet eller -mønster?,Have you noticed changes in your sleep quality or pattern?,Чи помітили ви зміни в якості або шаблоні сну?
Har du haft nogen pludselige eller hyppige hovedpine?,Have you had any sudden or frequent headaches?,Чи мали ви раптові або часті головні болі?
Har du oplevet nogen muskelsmerter eller stivhed omkring bækkenområdet?,Have you experienced any muscle pains or stiffness around the pelvic area?,Чи відчували ви будь-які м'язові болі або скованість у тазовій області?
"Har du ændrede spisevaner eller mønstre, du undrer dig over?",Have you had any altered eating habits or patterns that you wonder about?,"Чи мали ви будь-які змінені звички або шаблони щодо харчування, про які ви маєте сумніви?"
Har du følt dig mere følsom over for lugte eller smag end sædvanligt?,Have you felt more sensitive to smells or tastes than usual?,"Чи відчували ви більшу чутливість до запахів або смаків, ніж зазвичай?"
Har du bemærket ændringer i din menstruationscyklus eller -mønster?,Have you noticed changes in your menstrual cycle or pattern?,Чи помітили ви зміни в своєму менструальному циклі або його шаблоні?
Har du følt dig mere eller mindre sulten end normalt?,Do you feel more or less hungry than usual?,"Чи відчуваєте ви більше або менше голоду, ніж зазвичай?"
Har du haft nogen blødning uden for din menstruationsperiode?,Have you had any bleeding outside of your menstruation period?,Чи мали ви які-небудь кровотечі поза періодом менструації?
Har du blødt normalt indenfor de seneste måneder?,Have you bled normally in the past few months?,Чи кровоточили ви нормально за останні кілька місяців?
"Har du oplevet nogen symptomer, du ikke tidligere har haft kropsmæssigt?",Have you experienced any symptoms you haven't had before physically?,"Чи відчули ви будь-які симптоми, яких раніше не мали фізично?"
Har du øreringe på?,Are you wearing earrings?,Чи маєте ви сережки?
Har du halskæde på?,Are you wearing a necklace?,Чи маєте ви намисто?
Har du hårnåle i håret?,Do you have hairpins in your hair?,Чи маєте ви заколки в волоссі?
Har du noget metal i dine hårspænder?,Do you have any metal in your hairpins?,Чи є в вашій заколці металеві деталі?
Er dine hårspænder lavet af andet materiale end metal?,Are your hairpins made of material other than metal?,"Чи ваша заколка виготовлена з іншого матеріалу, крім металу?"
"Har du metalgenstande på dig, som du ikke har fjernet?",Do you have metal objects on you that you haven't removed?,"Чи є на вас металеві предмети, які ви не  виймали?"
"Er der nogen metaldele i din krop, f-eks. kunstige led?","Are there any metal parts in your body, for example, artificial joints?","Чи є в вашому тілі металеві деталі, наприклад, штучні суглоби?"
Har du en pacemaker?,Do you have a pacemaker?,Чи маєте ви кардіостимулятор?
har du fået indopereret en pacemaker?,Have you had a pacemaker implanted?,Чи вам встановили кардіостимулятор?
Har du tidligere fået indopereret en pacemaker?,Have you previously had a pacemaker implanted?,Чи вам раніше встановлювали кардіостимулятор?
Er der en pacemaker i din brystkasse?,Is there a pacemaker in your chest?,Чи є в вашій грудній клітці кардіостимулятор?
Er du blevet opereret i hjertet?,Have you had heart surgery?,Чи мали ви операцію на серце?
Er du hjerteopereret?,Have you undergone heart surgery?,Чи переносили ви операцію на серце?
Har du haft nogen former for metal indopereret i hjertet?,Have you had any types of metal implanted in your heart?,"Чи маєте ви будь-які типи металевих пристроїв, встановлених у вашому серці?"
Har du været hjertesyg?,Have you been heart-sick?,Чи стикалися ви з хворобами серця?
Har du noget elektronisk indsat i din brystkasse?,Do you have any electronic device inserted in your chest?,"Чи маєте ви електронний пристрій, вставлений у вашу грудну клітку?"
Er der et implantat i din brystregion?,Is there an implant in your chest region?,Чи є в грудній області імплантат?
Har du fået indopereret hjerteudstyr?,Have you had heart equipment implanted?,Чи мали ви імплантати серцевого обладнання?
Har du et hjerterytme udstyr i din brystkasse?,Do you have a heart rhythm device in your chest?,Чи маєте ви пристрій для контролю ритму серця у грудній області?
"Har du en indre enhed, der overvåger dit hjertes funktion?",Do you have an internal device monitoring your heart function?,Чи є у вас внутрішній пристрій для моніторингу роботи серця?
"Er der noget elektronisk i din krop, der kan reagere på magnetisk resonans?",Is there anything electronic in your body that could react to magnetic resonance?,"Чи є в вашому тілі щось електронне, що може реагувати на магнітно-резонансну томографію?"
"Er du opmærksom på en enhed, der regulerer din hjertefrekvens?",Are you aware of a device regulating your heart rate?,"Чи знаєте ви про пристрій, який регулює ваш пульс?"
"Har du en mekanisk enhed, der understøtter din hjertefunktion?",Do you have a mechanical device supporting your heart function?,"Чи є у вас механічний пристрій, що підтримує роботу вашого серця?"
"Er du bekendt med noget, der hjælper med at kontrollere din hjerterytme?",Are you aware of anything helping control your heart rhythm?,"Чи знаєте ви про щось, що допомагає контролювати ритм вашого серця?"
"Har du en intern enhed, der påvirker hjertets elektriske signaler?",Do you have an internal device affecting your heart's electrical signals?,"Чи є у вас внутрішній пристрій, що впливає на електричні сигнали вашого серця?"
"Er du opmærksom på et implantat, der er placeret nær dit hjerte?",Are you aware of an implant placed near your heart?,"Чи знаєте ви про імплантат, розташований близько до вашого серця?"
Er der en pacemaker indsat i din krop?,Is there a pacemaker inserted into your body?,Чи є вставлений в ваше тіло кардіостимулятор?
Bruger du en pacemaker til at regulere dit hjerte?,Are you using a pacemaker to regulate your heart?,Чи використовуєте ви кардіостимулятор для регулювання роботи серця?
"Har du en enhed, der hjælper med at kontrollere din hjerterytme?",Do you have a device helping control your heart rhythm?,"Чи є у вас пристрій, що допомагає контролювати ритм вашого серця?"
"Er der noget elektronisk i din krop, der styrer dit hjertes funktion?",Is there anything electronic in your body controlling your heart's function?,"Чи є в вашому тілі щось електронне, що контролює роботу вашого серця?"
"Har du en indvendig enhed, der overvåger dit hjertes elektriske signaler?",Do you have an internal device monitoring your heart's electrical signals?,"Чи є в вас внутрішній пристрій, що моніторить електричні сигнали вашого серця?"
"Har du noget mekanisk, der støtter dit hjerte?",Do you have anything mechanical supporting your heart?,"Чи є щось механічне, що підтримує ваше серце?"
"Er der en enhed, der hjælper med at holde din hjerterytme stabil?",Is there a device helping maintain your heart rate stability?,"Чи є пристрій, що допомагає підтримувати стабільність вашого пульсу?"
"Har du en pacemaker, der regulerer din hjertefrekvens?",Do you have a pacemaker regulating your heart rate?,Чи маєте ви кардіостимулятор для регулювання пульсу?
Har du det ubehageligt i lukkede rum?,Do you feel uncomfortable in enclosed spaces?,Чи відчуваєте ви дискомфорт в замкнених просторах?
Føler du dig utilpas i trange omgivelser?,Do you feel uncomfortable in tight environments?,Чи відчуваєте ви дискомфорт в тісних оточеннях?
Har du haft svært ved at være i elevatoren?,Have you had trouble being in elevators?,Чи мали ви проблеми з перебуванням в ліфтах?
"Føler du ubehag, når du er indespærret i små rum?",Do you feel discomfort when confined in small spaces?,Чи відчуваєте ви дискомфорт при знаходженні в обмежених просторах?
Har du oplevet angst i tætpakkede situationer?,Have you experienced anxiety in crowded situations?,Чи виникала у вас тривога в переповнених ситуаціях?
Føler du dig nervøs i trange korridorer?,Do you feel nervous in tight corridors?,Чи відчуваєте ви нервовість в тісних коридорах?
Har du haft ubehagelige oplevelser i fyldte elevatorer?,Have you had unpleasant experiences in crowded elevators?,Чи мали ви неприємні враження в переповнених ліфтах?
Føler du dig kvalt i små rum?,Do you feel suffocated in small spaces?,Чи відчуваєте ви задушення в невеликих просторах?
Har du haft panik i trange områder?,Have you experienced panic in tight areas?,Чи виникала у вас паніка в тісних місцях?
Føler du dig indespærret i små rum?,Do you feel trapped in small spaces?,Чи відчуваєте ви відчуття ув'язненості в малих просторах?
Har du svært ved at være i tætpakkede busser eller tog?,Do you have trouble being in crowded buses or trains?,Чи маєте ви проблеми з перебуванням у переповнених автобусах або поїздах?
Føler du dig ubehageligt i trange rum?,Do you feel uncomfortable in tight spaces?,Чи відчуваєте ви дискомфорт в тісних просторах?
Har du haft problemer med at være i trange områder?,Have you had problems in tight areas?,Чи мали ви проблеми в тісних місцях?
Føler du dig kvalt i venteværelser eller forsamlinger?,Do you feel suffocated in waiting rooms or gatherings?,Чи відчуваєте ви задушення в приймальних кабінетах або зібраннях?
Har du oplevet angst i trange biografsale eller teaterscener?,Have you experienced anxiety in crowded cinemas or theater scenes?,Чи виникала у вас тривога в переповнених кінотеатрах або театральних сценах?
Føler du dig ukomfortabel i små kontorlokaler eller mødelokaler?,Do you feel uncomfortable in small office rooms or meeting rooms?,Чи відчуваєте ви дискомфорт в малих офісних кімнатах або залі для зустрічей?
Har du haft svært ved at være i overfyldte steder?,Have you had trouble being in crowded places?,Чи ви мали проблеми з перебуванням у переповнених місцях?
Føler du dig begrænset i tætpakkede områder?,Do you feel limited in crowded areas?,Чи ви відчуваєте обмеження у переповнених зонах?
Har du oplevet ubehag i tætpakkede områder med mange mennesker?,Have you experienced discomfort in crowded areas with many people?,Чи ви відчували дискомфорт у переповнених місцях з великою кількістю людей?
Føler du dig klaustrofobisk i små rum?,Do you feel claustrophobic in small spaces?,Чи ви відчуваєте кліматофобію в невеликих просторах?
Har du haft panik i trange elevatorer?,Have you panicked in tight elevators?,Чи ви панікували в тісних ліфтах?
Føler du dig indespærret i trange rum?,Do you feel trapped in tight spaces?,Чи ви відчуваєте в'язність в стислих просторах?
Har du svært ved at være i tætpakkede køer eller linjer?,Do you have trouble being in crowded queues or lines?,Чи ви маєте проблеми з перебуванням у чергах або лініях з великою кількістю людей?
Føler du dig nervøs i trange trappeopgange eller korridorer?,Do you feel nervous in tight stairwells or corridors?,Чи ви відчуваєте нервовість в тісних сходових клітинах чи коридорах?
Har du oplevet angst i trange eller små rum?,Have you experienced anxiety in tight or small spaces?,Чи ви відчували тривогу в тісних або малих просторах?
Føler du ubehag i offentlig trafik med mange mennesker?,Do you feel uncomfortable in public transport with many people?,Чи вам незручно у громадському транспорті з великою кількістю людей?
Har du haft problemer med at være i trange rum som elevatorer eller smalle rum?,Have you had problems being in tight spaces like elevators or narrow rooms?,"Чи ви мали проблеми з перебуванням у тісних просторах, таких як ліфти чи вузькі кімнати?"
Føler du dig ukomfortabel i tætpakkede værelser?,Do you feel uncomfortable in crowded rooms?,Чи ви відчуваєте дискомфорт у переповнених кімнатах?
Har du haft svært ved at være i tætpakkede steder?,Have you had trouble being in crowded places?,Чи ви мали проблеми з перебуванням у переповнених місцях?
Føler du dig klaustrofobisk i trange parkeringshuse eller parkeringspladser?,Do you feel claustrophobic in tight parking lots or parking spaces?,Чи ви відчуваєте кліматофобію у тісних парковках чи стоянках?
Har du oplevet ubehag i tætpakkede sale eller andet trangt område,Have you experienced discomfort in crowded halls or other tight areas?,Чи ви відчували дискомфорт у переповнених залах чи інших тісних місцях?
Har du haft panik i tætpakkede koncerter eller festivaler?,Have you panicked in crowded concerts or festivals?,Чи ви панікували на переповнених концертах чи фестивалях?
Føler du dig nervøs i tætpakkede forsamlinger?,Do you feel nervous in crowded gatherings?,Чи ви відчуваєте нервозність на переповнених зборах?
Har du oplevet angst i tætpakkede indkøbscentre?,Have you experienced anxiety in crowded shopping malls?,Чи ви відчували тривогу в переповнених торгових центрах?
Føler du dig ubehageligt i tætpakkede busser?,Do you feel uncomfortable in crowded buses?,Чи вам незручно у переповнених автобусах?
Har du haft svært ved at være i tætpakkede arrangementer?,Have you had trouble being in crowded events?,Чи ви мали проблеми з перебуванням на переповнених заходах?
Føler du dig ukomfortabel i tætpakkede områder?,Do you feel uncomfortable in crowded areas?,Чи ви відчуваєте дискомфорт у переповнених місцях?
Har du haft problemer med at være i tætpakkede områder?,Have you had problems being in crowded areas?,Чи ви мали проблеми з перебуванням у переповнених місцях?
Føler du dig klaustrofobisk i tætpakkede områder?,Do you feel claustrophobic in crowded areas?,Чи ви відчуваєте кліматофобію в переповнених місцях?
Har du oplevet angst i tætpakkede steder eller områder?,Have you experienced anxiety in crowded places or areas?,Чи ви відчували тривогу в переповнених місцях чи зонах?
Føler du dig indespærret i tætpakkede stedet eller områder?,Do you feel trapped in crowded places or areas?,Чи ви відчуваєте в'язність в переповнених місцях чи зонах?
Føler du dig nervøs i tætpakkede områder eller rum?,Do you feel nervous in crowded areas or rooms?,Чи ви відчуваєте нервозність в переповнених місцях чи кімнатах?
Føler du dig ubehageligt i tætpakkede rum?,Do you feel uncomfortable in crowded rooms?,Чи ви відчуваєте дискомфорт в переповнених кімнатах?
Har du nogen allergier?,Do you have any allergies?,Чи у вас є які-небудь алергії?
Er du allergisk over for noget?,Are you allergic to anything?,Чи ви алергічні на щось?
Har du nogen kendte allergier?,Do you have any known allergies?,Чи у вас є відомі алергії?
Har du oplevet allergiske reaktioner før?,Have you experienced allergic reactions before?,Чи ви мали алергічні реакції раніше?
"Er der noget, du ikke kan tåle på grund af allergi?",Is there anything you cannot tolerate due to allergies?,"Чи є щось, що ви не можете терпіти через алергію?"
Har du haft allergiske symptomer tidligere?,Have you had allergic symptoms before?,Чи ви мали алергічні симптоми раніше?
"Er der stoffer eller fødevarer, du skal undgå på grund af allergier?",Are there substances or foods you need to avoid due to allergies?,"Чи є речовини чи продукти харчування, яких вам потрібно уникати через алергію?"
