danish,english,ukrainian
Har du håndteret metal i tidligere job?,Have you handled metal in previous job ?,Чи працювали ви з металом на вашій попередній роботі?
"Har du erfaring med arbejde, der involverer metalhåndtering?",Do have experience with work involving metal handling ?,Чи маєте ви досвід роботи з металом?
Har du arbejdet med metalsplinter?,Have worked with metal splinters ?,Чи працювали ви з металевими уламками?
Har tidligere arbejdet med metalprodukter?,Have previously worked with metal products ?,Ви раніше працювали з металевими виробами?
Havde du et job med metalforarbejdning?,you had a job involving metal processing ?,"Чи була у вас робота, пов'язана з обробкою металу?"
Havde du beskæftigelse i metalindustrien?,you had employment in the metal industry ?,Чи працювали ви в металургійній промисловості?
Arbejdede du med metalværktøj?,you worked with metal tools ?,Чи працювали ви з металевими інструментами?
Har du arbejdet med metalfremstilling?,Have you worked metal manufacturing ?,Чи працювали ви у металургійному виробництві?
Har du haft arbejde med metalgenstande?,Have you had job involving metal objects ?,"Чи була у вас робота, пов'язана з металевими предметами?"
Har du erfaring metal-relaterede arbejde?,Do you have experience metal-related work ?,Чи є у вас досвід роботи з металом?
Har du tidligere arbejdet med smedning?,you previously worked with forging ?,Чи працювали ви раніше з куванням металу?
håndterede du metalmaterialer?,you handled metal materials ?,Чи мали ви справу з металевими матеріалами?
"Har du et job, der kræver viden om metal?",Have you a job requiring knowledge of metal ?,"Чи була у вас робота, яка вимагала знання металу?"
Har du arbejdet med metalprodukter?,Have you worked with metal products ?,Чи працювали ви раніше з металевими виробами?
Har der været beskæftigelse i metalsektoren?,Have had employment in the metal sector ?,Чи працювали ви в металургійному секторі?
Har du erfaring med metal arbejde?,Do you experience with metal work ?,У вас є досвід роботи з металом?
Har du haft et job med metalhåndtering?,Have had a job involving metal handling ?,"Чи була у вас робота, пов'язана з роботою з металом?"
"Har du haft arbejde, der kræver brug af metalværktøj?",Have you had work requiring the use metal tools ?,"Чи була у вас робота, яка вимагала використання металевих інструментів?"
Har du nogensinde haft metal dit øje?,Have you ever had metal your eye ?,Вам коли-небудь потрапляв метал в око?
Har du nogensinde haft metalsplinter i øjet?,you ever had metal splinters in your eye ?,У вас коли-небудь були металеві уламки в оці?
Har du nogensinde oplevet at få metalsplinter i øjnene?,you ever experienced getting metal splinters in your eyes ?,Вам коли-небудь потрапляли металеві уламки в очі?
Har du nogensinde været udsat for metalsplinter i øjnene?,Have ever been exposed to metal splinters in your eyes ?,Вам коли-небудь потрапляли металеві уламки в очі?
Har du nogensinde haft en metalsplinter i øjet?,Have you ever had a metal splinter in eye ?,У вас коли-небудь був металевий уламок в оці?
Er du bekendt med at få metalsplinter i øjnene?,Are you familiar getting metal splinters in your eyes ?,Вам доводилось стикатись з металевими уламками в очах?
Har du nogensinde haft brug for at fjerne en metal splint dit øje?,Have you ever needed to remove a metal splinter your eye ?,Вам коли-небудь доводилося видаляти металеві скалки з ока?
Har du nogensinde haft en metal splint i øjet kræves medicinsk behandling?,Have you ever had a metal splinter in your eye required medical treatment ?,"Вам коли-небудь потрапляв в око металевий уламок, що вимагало медичної допомоги?"
Er du klar over risikoen for at få metalsplinter i øjnene?,Are you aware the risk getting metal splinters in your eyes ?,Чи знаєте ви про ризик отримання металевих уламків очі?
"Har du oplevet situationer, hvor du var i fare for at få metalsplinter dine øjne?",Have you experienced any situations where you were at risk of getting metal splinters your eyes ?,"Чи були у вас ситуації, в яких вам могли потрапити металеві уламки в очі?"
Er du bekymret for at få metalsplinter i øjnene under visse aktiviteter?,you concerned about getting metal splinters in your eyes during certain activities ?,Чи турбує вас ризик потрапляння металевих уламків в очі під час певних видів діяльності?
"Har du nogensinde været i en situation, hvor det er nødvendigt for at beskytte dine øjne mod metalsplinter?",Have ever been in a situation where needed to protect your eyes from metal splinters ?,"Ви коли-небудь були в ситуації, коли вам потрібно було захистити очі від металевих уламків?"
Har du nogen piercinger?,Do you any piercings ?,У вас є який-небудь пірсинг?
Er piercet?,Are pierced ?,Ви носите пірсинг?
Har du fået piercinger?,you gotten piercings ?,Ви робили пірсинг?
Har du piercinger på?,Do wear any piercings ?,Ви носите який-небудь пірсинг?
Har du nogen piercinger på din krop?,you have any piercings on your body ?,Чи є у вас пірсинг на тілі?
Har du piercing overalt på din krop?,Do you piercings anywhere on your body ?,Чи є у вас пірсинг у будь-якому місці тіла?
Har du piercinger i øjeblikket?,you currently have any piercings ?,Чи є у вас зараз який-небудь пірсинг?
Havde du lavet piercinger?,you had piercings done ?,Ви робили пірсинг?
Har du nogen piercinger?,you have any piercings ?,Чи є у вас який-небудь пірсинг?
Har du piercinger på lige nu?,Are wearing any piercings right now ?,Чи носите ви зараз пірсинг?
Har du for nylig fået piercinger?,you recently gotten any piercings ?,Чи робили ви пірсинг нещодавно?
"Har du piercinger, du plejer at have på?",you have piercings you usually wear ?,"Чи є у вас пірсинг, який ви зазвичай носите?"
"Har du nogle piercinger, jeg gerne vil nævne?",Do have any piercings 'd like to mention ?,"Чи є у вас пірсинг, про який ви хотіли б розповісти?"
"Har du piercinger, du har fået gjort?",Do you piercings you 've gotten done ?,"Чи є у вас пірсинг, який ви вже зробили?"
"Har du nogle piercinger, du vil tale om?",Do you have any piercings you 'd like discuss ?,"Чи є у вас пірсинг, про який ви хотіли б поговорити?"
"Du har noget metal nogen steder, såsom piercings?","you have any metal anywhere , such as piercings ?","Чи є у вас якийсь метал де-небудь, наприклад, пірсинг?"
"Har du noget metal, som piercinger?","Do you have any metal you , like piercings ?","Чи є на вас який-небудь метал, наприклад, пірсинг?"
"Har du metal overalt på kroppen, såsom piercings?","Do you have metal anywhere on body , such as piercings ?","Чи є у вас на тілі якийсь метал, наприклад, пірсинг?"
"Er der metal din krop, ligesom piercinger?","Is there metal your body , like piercings ?","Чи є на вашому тілі метал, такий як пірсинг?"
"Har nogen form for metal på, såsom piercings?","Do have any form of metal on , such as piercings ?","Чи маєте ви на собі метал у будь-якій формі, наприклад, пірсинг?"
"Har du metalgenstande på, som piercinger, hvor som helst på kroppen?","Are you wearing metal objects , like piercings , anywhere on body ?","Чи носите ви зараз металеві предмети на тілі, наприклад, пірсинг?"
"Er der metal vedhæftede filer på din krop, som piercings?","Are there metal attachments on your body , as piercings ?","Чи є на вашому тілі металеві елементи, наприклад, пірсинг?"
"Har du nogen metalgenstande, ligesom piercinger, placeret på din krop?","Do you any metal objects , like piercings , located on your body ?","Чи є у вас на тілі які-небудь металеві предмети, наприклад, пірсинг?"
"Har metal implantater, piercinger eller lignende?","Do have metal implants , piercings , or the like ?","Чи маєте ви металеві імплантати, пірсинг або щось подібне?"
"Er du gravid, kunne du være gravid?",Are you pregnant could you be pregnant ?,Ви вагітні або можете бути вагітні?
"Er der nogen mulighed for, at du kan blive gravid?",Is there any possibility that you could pregnant ?,"Чи є можливість того, що ви вагітні?"
"Er der en chance for, at du kan være gravid?",Is there a chance you could be pregnant ?,"Чи є ймовірність того, що ви вагітні?"
Har man overvejet muligheden for at blive gravid?,Have considered the possibility of pregnancy ?,Чи замислювалися ви про можливість вагітності?
Har du ubeskyttet sex?,Have you unprotected sex ?,У вас був незахищений статевий контакт?
"Er der risiko for, at du kan være gravid?",Is a risk that you could be pregnant ?,"Чи є ризик того, що ви вагітні?"
Har du truffet forebyggende foranstaltninger under sex?,you taken any preventive measures during sex ?,Чи приймали ви якісь запобіжні заходи під час сексу?
"Er der sandsynlighed for, at du kan være gravid?",Is a likelihood that you could be pregnant ?,"Чи існує ймовірність того, що ви можете бути вагітною?"
Har du oplevet graviditetssymptomer?,Have you experienced pregnancy symptoms ?,Чи відчували ви якісь симптоми вагітності?
"Er der en mulighed for, at du kan være de tidlige stadier af graviditeten?",Is there a possibility that you could be the early stages of pregnancy ?,"Чи існує ймовірність того, що ви можете бути на ранніх стадіях вагітності?"
"har du oplevet nogen ændringer i din krop, der kan indikere graviditet?",you experienced any changes in your body that could indicate pregnancy ?,"Чи відчували ви якісь зміни у своєму тілі, які могли б свідчити про вагітність?"
Har du taget nogen graviditetstest for nylig?,you taken any pregnancy tests recently ?,Чи робили ви останнім часом тести на вагітність?
Har du bemærket forsinkelser i menstruationen?,Have you noticed any delays in menstruation ?,Чи помічали ви затримки в менструації?
"Er der chance for, at du kan forvente baby?",Is there chance you could be expecting baby ?,"Чи є ймовірність того, що ви чекаєте дитину?"
Prøver du at blive gravid?,Are you currently trying conceive ?,Ви зараз намагаєтеся завагітніти?
Forventer De i øjeblikket et barn?,Are currently expecting a child ?,Чи ви зараз очікуєте дитину?
Har du prøvet at undfange et barn for nylig?,Have tried to conceive a child recently ?,Чи намагалися ви завагітніти останнім часом?
Har du diskuteret muligheden for graviditet med din partner eller en læge?,Have you discussed possibility of pregnancy with your partner or a doctor ?,Чи обговорювали ви можливість вагітності зі своїм партнером або лікарем?
har du taget skridt til at bekræfte eller udelukke graviditet?,you taken any steps to confirm or rule out pregnancy ?,"Чи робили ви щось, щоб підтвердити або спростувати вагітність?"
Har du haft spørgsmål eller bekymringer relateret til graviditet?,Have you had questions or concerns related to pregnancy ?,"Чи виникали у вас запитання або занепокоєння, пов'язані з вагітністю?"
"Er der en mulighed for, at du kan blive gravid?",Is there a possibility that you could pregnant ?,"Чи існує ймовірність того, що ви можете бути вагітною?"
Har du oplevet nogen almindelige tegn på graviditet?,Have experienced any common signs of pregnancy ?,Чи відчували ви якісь загальні ознаки вагітності?
Har du foretaget nogen ændringer din adfærd eller livsstil vedrørende graviditet?,Have you made any changes your behavior or lifestyle regarding pregnancy ?,Чи змінилася ваша поведінка або образ життя стосовно вагітності?
Har du haft menstruation i de sidste par måneder?,Have had any menstruations in the last few months ?,Чи були у вас менструації протягом останніх кількох місяців?
"Har du bemærket nogen ændringer din krop omkring maven, som du er opmærksom på?",Have you noticed any changes your body around the abdomen that you are aware of ?,"Чи помітили ви якісь зміни у вашому тілі навколо живота, про які ви знаєте?"
Har du haft maveproblemer eller kvalme for nylig?,Have had any stomach problems or nausea recently ?,Чи були у вас останнім часом проблеми зі шлунком або нудота?
Føler du dig anderledes på nogen måde på det seneste?,Do feel different in any way lately ?,Чи відчуваєте ви себе якось інакше останнім часом?
Har du oplevet nogen usædvanlig træthed eller energi ændringer?,Have experienced any unusual fatigue or energy changes ?,Чи відчували ви незвичну втому або зміни в енергійності?
Har du bemærket ændringer i din appetit eller spisevaner?,Have noticed any changes in your appetite or eating habits ?,Чи помітили ви зміни у своєму апетиті або звичках харчування?
Har du uventede vægtændringer for nylig?,Have you unexpected weight changes recently ?,Чи були у вас несподівані зміни ваги останнім часом?
Har du gennemgået nogen kropslige forandringer i de seneste måneder?,Have you undergone any bodily changes in the past months ?,Чи відбувались у вас якісь зміни в тілі за останні кілька місяців?
Har du bemærket ændringer i din søvnkvalitet eller mønster?,Have noticed changes in your sleep quality or pattern ?,Чи помічали ви зміни в якості або характері вашого сну?
Har du haft pludselige eller hyppige hovedpiner?,Have you had sudden or frequent headaches ?,Чи були у вас раптові або часті головні болі?
Har du oplevet muskelsmerter eller stivhed omkring bækkenområdet?,Have you experienced any muscle pains or stiffness around pelvic area ?,Чи відчували ви болі в м'язах або скутість в області тазу?
"Har du haft nogen ændret spisevaner eller mønstre, du spekulerer på?",Have you had any altered eating habits or patterns you wonder about ?,"Чи були у вас якісь зміни в режимі харчування, які вас дивують?"
Har du følt mere følsomme lugte eller smag end normalt?,Have you felt more sensitive smells or tastes than usual ?,"Чи відчували ви підвищену чутливість до запахів або смаків, ніж зазвичай?"
Har du bemærket ændringer i din menstruationscyklus eller mønster?,Have noticed changes in your menstrual cycle or pattern ?,Чи помітили ви зміни у своєму менструальному циклі або характері?
Føler du dig mere eller mindre sulten som sædvanlig?,Do you feel more or less hungry usual ?,"Чи відчуваєте ви більший або менший голод, ніж зазвичай?"
Du havde nogen blødning uden for din menstruation periode?,you had any bleeding outside of your menstruation period ?,Чи були у вас якісь кровотечі за межами менструального циклу?
Har blødt normalt i de sidste par måneder?,Have bled normally in the past few months ?,Протягом останніх кількох місяців у вас була нормальна кровотеча?
"Har du oplevet nogen symptomer, du ikke har haft fysisk?",Have you experienced any symptoms you have n't had physically ?,"Чи відчуваєте ви якісь фізичні симптоми, яких раніше не було?"
Har du øreringe på?,Are wearing earrings ?,Ви носите сережки?
Har du en halskæde på?,Are wearing a necklace ?,Ви носите намисто?
Har du hårnåle i håret?,you have hairpins in your hair ?,Ви використовуєте шпильки для волосся?
Har du noget metal i hårnålene?,Do have any metal in your hairpins ?,Чи є у ваших шпильках метал?
Er dine hårnåle lavet af materiale andet metal?,Are your hairpins made of material other metal ?,"Ваші шпильки зроблені з іншого матеріалу, ніж метал?"
"Har du metalgenstande på dig, du ikke har fjernet?",Do you have metal objects on you you have n't removed ?,"Чи є на вас металеві предмети, які ви не зняли?"
"Er der nogen metaldele i kroppen, for eksempel kunstige led?","Are there any metal parts in body , for example , artificial joints ?","Чи є у вашому тілі металеві частини, наприклад, штучні суглоби?"
Har du en pacemaker?,you have a pacemaker ?,У вас є кардіостимулятор?
Har en pacemaker implanteret?,Have had a pacemaker implanted ?,Чи є у вас вживлений кардіостимулятор?
Har du tidligere haft pacemaker implanteret?,Have you previously had pacemaker implanted ?,Вам раніше імплантували кардіостимулятор?
Er der en pacemaker i brystet?,Is there a pacemaker in chest ?,Чи є у вас кардіостимулятор у грудях?
Har du hjertekirurgi?,Have you heart surgery ?,Вам робили операцію на серці?
Er du blevet opereret på hjertet?,Have undergone heart surgery ?,Ви перенесли операцію на серці?
Har du haft nogen typer af metal implanteret i hjertet?,Have you had any types of metal implanted in heart ?,Чи є у вас в серці будь-які металеві імплантати?
Har du hjertesyg?,Have you heart-sick ?,У вас були серцеві захворювання?
Har du noget elektronisk udstyr i brystet?,Do have any electronic device inserted in your chest ?,Чи є у вас в грудях який-небудь електронний пристрій?
Er der et implantat i brystet?,Is there an implant your chest region ?,Чи є у вас імплантат у грудній клітці?
Har du hjerteudstyr implanteret?,Have you heart equipment implanted ?,Вам імплантували серцеве обладнання?
Har du en hjerterytme-enhed i brystet?,you have a heart rhythm device in your chest ?,"Чи є у вас в грудях пристрій, що контролює серцевий ритм?"
"Har en intern enhed, der overvåger din hjertefunktion?",Do have an internal device monitoring your heart function ?,"Чи є у вас внутрішній пристрій, який контролює роботу серця?"
"Er der noget elektronisk i din krop, der kan reagere på magnetisk resonans?",there anything electronic in your body that could react to magnetic resonance ?,"Чи є у вашому тілі щось електронне, що може реагувати на магнітний резонанс?"
"Er du klar over en anordning, der regulerer din puls?",Are you aware a device regulating your heart rate ?,"Чи відомо вам про пристрій, який регулює ваш серцевий ритм?"
"Har du en mekanisk anordning, der understøtter din hjertefunktion?",Do you a mechanical device supporting your heart function ?,"Чи є у вас механічний пристрій, який підтримує роботу серця?"
Er du klar over noget hjælpe kontrol hjerterytme?,Are you aware of anything helping control heart rhythm ?,"Чи відомо вам про щось, що допомагає контролювати ваш серцевий ритм?"
Har en indre enhed påvirker dit hjerte's elektriske signaler?,Do have an internal device affecting your heart 's electrical signals ?,"Чи є у вас внутрішній пристрій, що впливає на електричні сигнали вашого серця?"
Er du klar over et implantat placeret nær hjertet?,Are you aware of an implant placed near heart ?,Чи відомо вам про імплантат біля вашого серця?
Er en pacemaker indsat i din krop?,Is a pacemaker inserted into your body ?,Чи є у вашому тілі кардіостимулятор?
Bruger du en pacemaker regulere dit hjerte?,Are you using a pacemaker regulate your heart ?,Чи використовуєте ви кардіостимулятор для регулювання роботи серця?
"Har du en anordning, der hjælper med at styre din hjerterytme?",Do you have device helping control your heart rhythm ?,"Чи є у вас пристрій, який допомагає контролювати серцевий ритм?"
"Er der noget elektronisk i din krop, der styrer dit hjertes funktion?",Is anything electronic in your body controlling your heart 's function ?,"Чи є у вашому тілі щось електронне, що контролює роботу вашого серця?"
"Har du en indre enhed, der overvåger dit hjertes elektriske signaler?",Do have an internal device monitoring your heart 's electrical signals ?,"Чи є у вас внутрішній пристрій, який контролює електричні сигнали вашого серця?"
"Har du noget mekanisk, der støtter dit hjerte?",Do have anything mechanical supporting your heart ?,"Чи є у вас щось механічне, що підтримує ваше серце?"
Er en anordning hjælper med at opretholde din puls stabilitet?,Is a device helping maintain your heart rate stability ?,"Чи є у вас пристрій, який допомагає підтримувати стабільність серцевого ритму?"
Har en pacemaker regulere din puls?,Do have a pacemaker regulating your heart rate ?,"Чи є у вас кардіостимулятор, який регулює частоту серцевих скорочень?"
Føler du dig ubehageligt lukket rum?,Do you feel uncomfortable enclosed spaces ?,Чи відчуваєте ви дискомфорт у замкнених приміщеннях?
Føler du dig utilpas i stramme miljøer?,you feel uncomfortable in tight environments ?,Чи відчуваєте ви дискомфорт у тісному середовищі?
Har du haft problemer med at være elevatorer?,Have you had trouble being elevators ?,Чи були у вас проблеми з перебуванням у ліфтах?
Føler du ubehag i små rum?,Do you feel discomfort confined in small spaces ?,"Чи відчуваєте ви дискомфорт, перебуваючи в тісному приміщенні?"
Du oplevede angst i overfyldte situationer?,you experienced anxiety in crowded situations ?,Чи траплялося вам хвилюватися у місцях великого скупчення людей?
Føler du dig nervøs i stramme korridorer?,Do feel nervous in tight corridors ?,Чи нервуєте ви перебуваючи у вузьких коридорах?
Har du haft ubehagelige oplevelser overfyldte elevatorer?,Have you had unpleasant experiences crowded elevators ?,Чи мали ви неприємний досвід у переповнених ліфтах?
Føler du dig kvalt i små rum?,you feel suffocated in small spaces ?,Ви відчуваєте нестачу повітря в тісному просторі?
Du oplevede panik i stramme områder?,you experienced panic in tight areas ?,Чи відчували ви паніку в тісних приміщеннях?
Føler du dig fanget små rum?,Do you feel trapped small spaces ?,Чи відчуваєте ви себе замкненим у малих приміщеннях?
Har du problemer med at være i overfyldte busser eller tog?,Do you trouble being in crowded buses or trains ?,Чи важко вам перебувати в переповнених автобусах або потягах?
Føler du dig utilpas i stramme rum?,Do feel uncomfortable in tight spaces ?,Чи відчуваєте ви дискомфорт у тісних місцях?
Har De haft problemer med de stramme områder?,Have you had problems tight areas ?,Чи виникали у вас проблеми в тісних приміщеннях?
Føler du dig kvalt i venteværelser sammenkomster?,Do you feel suffocated in waiting rooms gatherings ?,Чи буває вам важко дихати в залах очікування або на зустрічах?
Har du oplevet angst i overfyldte biografer eller teater scener?,Have experienced anxiety in crowded cinemas or theater scenes ?,Чи відчували ви тривогу в переповнених кінотеатрах або театрах?
Føler du dig utilpas i små kontorlokaler mødelokaler?,Do you feel uncomfortable in small office rooms meeting rooms ?,Чи відчуваєте ви дискомфорт у невеликих офісних приміщеннях або кімнатах для нарад?
Har du haft problemer med at være overfyldt?,Have had trouble being in crowded places ?,Чи виникали у вас проблеми в людних місцях?
Føler du dig begrænset overfyldt?,Do you feel limited crowded areas ?,Чи відчуваєте ви себе обмеженим у людних місцях?
Har du oplevet ubehag i overfyldte områder med mange mennesker?,Have experienced discomfort in crowded areas with many people ?,Чи відчуваєте ви дискомфорт у місцях великого скупчення людей?
Føler du dig klaustrofobisk i små rum?,you feel claustrophobic in small spaces ?,Чи відчуваєте ви клаустрофобію в малих приміщеннях?
Er der gået panik i stramme elevatorer?,Have panicked in tight elevators ?,Чи панікували ви у тісних ліфтах?
Føler du dig fanget i snævre rum?,Do feel trapped in tight spaces ?,Чи відчуваєте ви себе у пастці в тісному просторі?
Har du problemer med at være i overfyldte køer eller linjer?,you have trouble being in crowded queues or lines ?,Чи відчуваєте ви труднощі в переповнених чергах?
Føler du dig nervøs i stramme trapper eller korridorer?,you feel nervous in tight stairwells or corridors ?,Чи нервуєте ви на тісних сходових клітках або в коридорах?
Har du oplevet angst stramme eller små rum?,Have you experienced anxiety tight or small spaces ?,Чи відчуваєте ви тривогу в тісному або обмеженому просторі?
Føler du dig utilpas offentlig transport med mange mennesker?,Do you feel uncomfortable public transport with many people ?,Чи відчуваєте ви дискомфорт у громадському транспорті де багато людей?
Du havde problemer med at være i snævre rum som elevatorer eller smalle værelser?,you had problems being in tight spaces like elevators or narrow rooms ?,"Чи виникали у вас проблеми з перебуванням у тісному просторі, наприклад, у ліфті чи вузькому приміщенні?"
Føler du dig utilpas i overfyldte værelser?,Do feel uncomfortable in crowded rooms ?,Чи відчуваєте ви дискомфорт у переповнених приміщеннях?
Havde du problemer med at være overfyldt?,you had trouble being in crowded places ?,Чи виникали у вас проблеми в багатолюдних місцях?
Føler du klaustrofobisk i stramme parkeringspladser parkeringspladser?,Do you feel claustrophobic in tight parking lots parking spaces ?,Чи відчуваєте ви клаустрофобію на тісних парковках або стоянках?
Har du oplevet ubehag i overfyldte haller andre stramme områder?,Have you experienced discomfort in crowded halls other tight areas ?,Чи відчуваєте ви дискомфорт у переповнених залах або інших тісних приміщеннях?
Har panik i overfyldte koncerter eller festivaler?,Have panicked in crowded concerts or festivals ?,Чи панікували ви на переповнених концертах або фестивалях?
Føler du dig nervøs overfyldte sammenkomster?,Do you feel nervous crowded gatherings ?,Чи нервуєте ви на багатолюдних зібраннях?
Du oplevede angst i overfyldte indkøbscentre?,you experienced anxiety in crowded shopping malls ?,Чи відчували ви тривогу в багатолюдних торгових центрах?
Føler du dig utilpas i overfyldte busser?,you feel uncomfortable in crowded buses ?,Чи відчуваєте ви дискомфорт у переповнених автобусах?
Har du haft problemer med overfyldte begivenheder?,Have you had trouble in crowded events ?,Чи виникали у вас проблеми на багатолюдних заходах?
Føler du dig utilpas i overfyldte områder?,Do feel uncomfortable in crowded areas ?,Чи відчуваєте ви дискомфорт у багатолюдних місцях?
Har der været problemer i overfyldte områder?,Have had problems being in crowded areas ?,Чи виникали у вас проблеми з перебуванням у багатолюдних місцях?
Føler du dig klaustrofobisk i overfyldte områder?,Do feel claustrophobic in crowded areas ?,Чи відчуваєте ви клаустрофобію в багатолюдних місцях?
Har du været bekymret på overfyldte steder eller områder?,Have experienced anxiety in crowded places or areas ?,Чи відчували ви занепокоєння в місцях великого скупчення людей?
Føler du dig fanget overfyldte steder eller områder?,Do you feel trapped crowded places or areas ?,Чи відчуваєте ви себе замкненим у людних місцях чи приміщеннях?
Føler du dig nervøs i overfyldte områder eller værelser?,you feel nervous in crowded areas or rooms ?,Чи нервуєте ви в багатолюдних місцях або приміщеннях?
Føler du dig utilpas overfyldte værelser?,Do you feel uncomfortable crowded rooms ?,Чи відчуваєте ви дискомфорт у переповнених приміщеннях?
Har du allergi?,you have any allergies ?,Чи є у вас алергія?
Er du allergisk?,Are you allergic anything ?,Чи є у вас алергія на що-небудь?
Har du kendt allergier?,Do you have known allergies ?,Чи знаєте ви про наявність у вас алергії?
Har du oplevet allergiske reaktioner før?,Have experienced allergic reactions before ?,Чи ви мали алергічні реакції раніше?
"Er der noget, du ikke tolererer på grund af allergi?",Is there anything you not tolerate due to allergies ?,"Чи є щось, що ви не можете переносити через алергію?"
Har du allergiske symptomer før?,Have you allergic symptoms before ?,Чи були у вас раніше алергічні симптоми?
"Er stoffer eller fødevarer, du har brug for at undgå på grund af allergi?",Are substances or foods you need to avoid due to allergies ?,"Чи є речовини або продукти, яких вам потрібно уникати через алергію?"
Har du nogensinde haft allergiske reaktioner medicin?,Have you ever had allergic reactions medication ?,Чи були у вас коли-небудь алергічні реакції на ліки?
Har du oplevet allergiske symptomer såsom hævelse kløe?,Have you experienced allergic symptoms such as swelling itching ?,"Чи були у вас алергічні симптоми, такі як набряк або свербіж?"
"Har du nogensinde allergiske reaktioner, såsom hævelse eller kløe?","Have you ever allergic reactions , such as swelling or itching ?","Чи були у вас коли-небудь алергічні реакції, такі як набряк або свербіж?"
"Er bekendt med symptomer på allergiske reaktioner, såsom hævelse eller kløe?","Are familiar with symptoms of allergic reactions , such as swelling or itching ?","Чи знайомі ви з такими симптомами алергічних реакцій, як набряк або свербіж?"
Har du oplevet hævelse eller kløe på grund af allergi?,Have experienced swelling or itching due to allergy ?,Чи був у вас набряк або свербіж через алергію?
Er du bekendt oplever allergiske symptomer som hævelse eller kløe?,Are you familiar experiencing allergic symptoms like swelling or itching ?,"Чи знайомі ви з такими алергічними симптомами, як набряк або свербіж?"
Har du haft allergiske reaktioner i fortiden involverer hævelse kløe?,Have you had allergic reactions in the past involving swelling itching ?,"Чи були у вас в минулому алергічні реакції, що включали набряк або свербіж?"
har du oplevet nogen form for allergisk hævelse eller kløe før?,you experienced any type of allergic swelling or itching before ?,Чи були у вас раніше алергічні набряки або свербіж?
"Er du klar over allergi symptomer, herunder hævelse eller kløe?","Are you aware allergy symptoms , including swelling or itching ?","Чи знаєте ви про симптоми алергії, такі як набряк або свербіж?"
