danish,english,ukranian
Har du nogensinde oplevet at få mittale splinter i øjnene?,Have you ever experienced getting mittal splinters in your eyes?,Вам коли-небудь потрапляли металеві уламки в очі?
Har du nogensinde været udsat for mineraler splinter i dine øjne?,Have you ever been exposed to minerals splinters in your eyes?,Вам коли-небудь потрапляли металеві уламки в очі?
Har du nogensinde haft en metalsplinter i din ojo?,Have you ever had a metal splinter in your ojo?,У вас коли-небудь був металевий уламок в оці?
Kender du til at få metalsplinter i øjnene?,Are you familiar with getting metallurgical splinters in your eyes?,Вам доводилось стикатись з металевими уламками в очах?
Har du nogen sinde haft brug for at fjerne en metal dissident fra dit øje?,Have you ever needed to remove a metal dissident from your eye?,Вам коли-небудь доводилося видаляти металеві скалки з ока?
Har du nogen sinde haft en mineraler splint i øjet der krævede medicinsk behandling?,Have you ever had a minerals splinter in your eye that required medical treatment?,"Вам коли-небудь потрапляв в око металевий уламок, що вимагало медичної допомоги?"
Er du klar over faren ved at få metalsplinter i øjnene?,Are you aware of the hazard of getting metal splinters in your eyes?,Чи знаєте ви про ризик отримання металевих уламків очі?
Har du oplevet situationer hvor du var i fare for at få metalsplinter i øjnene?,Have you experienced any situations where you were at risk of getting metallic splinters in your eyes?,"Чи були у вас ситуації, в яких вам могли потрапити металеві уламки в очі?"
Er du bekymret for at få metalsplinter i øjnene under visse aktiviteter?,Are you concerned about getting metallurgy splinters in your eyes during certain activities?,Чи турбує вас ризик потрапляння металевих уламків в очі під час певних видів діяльності?
Har du nogen sinde været i en situation hvor du havde brug for at beskytte dine øjne mod metalsplinter?,Have you ever been in a situation where you needed to protection your eyes from metal splinters?,"Ви коли-небудь були в ситуації, коли вам потрібно було захистити очі від металевих уламків?"
Har du nogen piercinger?,Doing you have any piercings?,У вас є який-небудь пірсинг?
Er du punkteret?,Are you punctured?,Ви носите пірсинг?
Havde du fået piercinger?,Had you gotten piercings?,Ви робили пірсинг?
Har du nogen ringe på?,Do you wear any rings?,Ви носите який-небудь пірсинг?
Har du nogen piercinger på din krop?,Doing you have any piercings on your body?,Чи є у вас пірсинг на тілі?
Har du piercinger overalt på din krop?,Do you have piercings everyplace on your body?,Чи є у вас пірсинг у будь-якому місці тіла?
Har du ringe i øjeblikket?,Do you currently have any rings?,Чи є у вас зараз який-небудь пірсинг?
Har du fået lavet ringe?,Have you had rings done?,Ви робили пірсинг?
Har du nogen ringe?,Do you have any rings?,Чи є у вас який-небудь пірсинг?
Har du nogen ringe på lige nu?,Are you wearing any rings right now?,Чи носите ви зараз пірсинг?
Har du for nylig fået nogle piercinger?,Has you recently gotten any piercings?,Чи робили ви пірсинг нещодавно?
"Har du ringe, du plejer at have på?",Do you have rings you usually wear?,"Чи є у вас пірсинг, який ви зазвичай носите?"
"Har du nogle piercinger, du gerne vil nævne?",Do you have any piercings you'd likes to mention?,"Чи є у вас пірсинг, про який ви хотіли б розповісти?"
"Har du piercinger, du har fået opført?",Do you have piercings you've gotten performed?,"Чи є у вас пірсинг, який ви вже зробили?"
"Har du nogle piercinger, du gerne vil tale om?",Do you have any piercings you'd like to discussing?,"Чи є у вас пірсинг, про який ви хотіли б поговорити?"
"Har du noget metal et sted, såsom piercinger?","Do you have any metal anyplace, such as piercings?","Чи є у вас якийсь метал де-небудь, наприклад, пірсинг?"
"Har du noget metal på dig, elskede piercinger?","Do you have any metal on you, fond piercings?","Чи є на вас який-небудь метал, наприклад, пірсинг?"
"Har du metal ingen steder på din krop, såsom piercinger?","Do you have metal nowhere on your body, such as piercings?","Чи є у вас на тілі якийсь метал, наприклад, пірсинг?"
"Er der metallurgi på din krop, ligesom piercinger?","Is there metallurgical on your body, like piercings?","Чи є на вашому тілі метал, такий як пірсинг?"
"Har du nogen form for metal på dig, såsom ringe?","Do you have any form of metal on you, such as rings?","Чи маєте ви на собі метал у будь-якій формі, наприклад, пірсинг?"
"Har du metalgenstande på, som piercinger, hvor som helst på kroppen?","Are you wearing metal objects, like piercings, anywhere on your bodies?","Чи носите ви зараз металеві предмети на тілі, наприклад, пірсинг?"
"Er der metalbeslag på jeres kroppe, såsom piercinger?","Are there metal attachments on your bodies, such as piercings?","Чи є на вашому тілі металеві елементи, наприклад, пірсинг?"
"Har du nogen metalgenstande, ligesom ringe, placeret på din krop?","Do you have any metal objects, like rings, located on your body?","Чи є у вас на тілі які-небудь металеві предмети, наприклад, пірсинг?"
"Har du metalimplantater, piercinger eller lignende?","Do you have metallic implants, piercings, or the like?","Чи маєте ви металеві імплантати, пірсинг або щось подібне?"
Er du gravid eller er du gravid?,Are you pregnant or did you be pregnant?,Ви вагітні або можете бути вагітні?
"Er der nogen chance for, at du kan være gravid?",Is there any chance that you could be pregnant?,"Чи є можливість того, що ви вагітні?"
"Er der en mulighed for, at du kan være gravid?",Is there a possibility that you could be pregnant?,"Чи є ймовірність того, що ви вагітні?"
Har du overvejet muligheden for at føde?,Have you considered the possibility of maternity?,Чи замислювалися ви про можливість вагітності?
Havde du haft ubeskyttet sex?,Had you had unprotected sex?,У вас був незахищений статевий контакт?
"Er der en fare for, at du kan være gravid?",Is there a endangerment that you could be pregnant?,"Чи є ризик того, що ви вагітні?"
Har du taget nogle forebyggende målinger under sex?,Have you taken any preventive measurements during sex?,Чи приймали ви якісь запобіжні заходи під час сексу?
"Er der en mulighed for, at du kan være gravid?",Is there a possibility that you could be pregnant?,"Чи існує ймовірність того, що ви можете бути вагітною?"
Har du haft nogen symptomer på at få børn?,Have you experienced any childbearing symptoms?,Чи відчували ви якісь симптоми вагітності?
"Er der en mulighed for, at du kan være i den tidlige fase af graviditeten?",Is there a possibility that you could be in the early phase of pregnancy?,"Чи існує ймовірність того, що ви можете бути на ранніх стадіях вагітності?"
Har du oplevet forandringer i din krop som kunne tyde på at du fik børn?,Have you experienced any changes in your body that could indicate childbearing?,"Чи відчували ви якісь зміни у своєму тілі, які могли б свідчити про вагітність?"
Har du taget nogen graviditetsprøver for nylig?,Have you taken any pregnancy tryouts recently?,Чи робили ви останнім часом тести на вагітність?
Har du lagt mærke til at din menstruation er blevet udskudt?,Have you noticed any postponed in your menstruation?,Чи помічали ви затримки в менструації?
"Er der en chance for, at du håber på et barn?",Is there a chance you could be hoping a baby?,"Чи є ймовірність того, що ви чекаєте дитину?"
Prøver du lige nu at designe?,Are you currently trying to designing?,Ви зараз намагаєтеся завагітніти?
Venter du børn lige nu?,Are you currently expecting a kiddies?,Чи ви зараз очікуєте дитину?
Har du prøvet at undfange et barn for nylig?,Have you tried to conceive a infantile recently?,Чи намагалися ви завагітніти останнім часом?
Havde du diskuteret muligheden for graviditet med din partner eller en læge?,Had you discussed the possibility of pregnancy with your partner or a doctor?,Чи обговорювали ви можливість вагітності зі своїм партнером або лікарем?
Har du taget nogen skridt til at bekræfte eller ordne graviditet?,Have you taken any steps to confirm or ordinance out pregnancy?,"Чи робили ви щось, щоб підтвердити або спростувати вагітність?"
Har du haft nogen spørgsmål eller bekymringer vedrørende graviditet?,Have you had any questions or concerns relating to pregnancy?,"Чи виникали у вас запитання або занепокоєння, пов'язані з вагітністю?"
"Er der muligheder for, at du kan være gravid?",Is there a opportunities that you could be pregnant?,"Чи існує ймовірність того, що ви можете бути вагітною?"
Har du oplevet nogen almindelige reklametavler af graviditet?,Have you experienced any common billboards of pregnancy?,Чи відчували ви якісь загальні ознаки вагітності?
Har du lavet nogen ændring i din adfærd eller livsstil vedrørende graviditet?,Have you made any shift in your behavior or lifestyle regarding pregnancy?,Чи змінилася ваша поведінка або образ життя стосовно вагітності?
Har du haft menstruation i de sidste par måneder?,Have you had any menstruations in the latter few months?,Чи були у вас менструації протягом останніх кількох місяців?
"Har du bemærket nogen ændringer i din krop omtrent maven, som du er opmærksom på?",Have you noticed any changes in your body roughly the abdomen that you are aware of?,"Чи помітили ви якісь зміни у вашому тілі навколо живота, про які ви знаєте?"
Har du haft maveproblemer eller kvalme for nylig?,Has you had any stomach problems or nausea recently?,Чи були у вас останнім часом проблеми зі шлунком або нудота?
Føler du dig på nogen måde forskelligartet på det seneste?,Do you feel diverse in any way lately?,Чи відчуваєте ви себе якось інакше останнім часом?
Har du oplevet nogen nysgerrig træthed eller energi ændringer?,Have you experienced any curious fatigue or energy changes?,Чи відчували ви незвичну втому або зміни в енергійності?
Har du lagt mærke til ændringer i din appetit eller ernæringsmæssige vaner?,Have you noticed any changes in your appetite or nutritional habits?,Чи помітили ви зміни у своєму апетиті або звичках харчування?
Har du haft uventede forandringer for nylig?,Have you had unexpected weighed changes recently?,Чи були у вас несподівані зміни ваги останнім часом?
Har du gennemgået nogle kropslige forandringer i de sidste par måneder?,Have you underwent any bodily changes in the past few months?,Чи відбувались у вас якісь зміни в тілі за останні кілька місяців?
Har du lagt mærke til ændringer i din søvnkvalitet eller dit mønster?,Have you noticed changes in your sleeping quality or pattern?,Чи помічали ви зміни в якості або характері вашого сну?
Har du haft pludselige eller hyppige hovedpiner?,Has you had any sudden or frequent headaches?,Чи були у вас раптові або часті головні болі?
Har du oplevet muskelsmerter eller stivhed næsten i bækkenområdet?,Have you experienced any muscle pains or stiffness nearly the pelvic area?,Чи відчували ви болі в м'язах або скутість в області тазу?
Har du fået ændret spisevaner eller vaner som du spekulerer på?,Have you had any altered eating habits or habits that you wonder about?,"Чи були у вас якісь зміни в режимі харчування, які вас дивують?"
Har du følt dig mere følsom over for lugte eller smag end normalt?,Have you felt more sensitive to smells or flavours than usual?,"Чи відчували ви підвищену чутливість до запахів або смаків, ніж зазвичай?"
Har du lagt mærke til ændringer i din menstruationscyklus eller dit mønster?,Have you noticed amendment in your menstrual cycle or pattern?,Чи помітили ви зміни у своєму менструальному циклі або характері?
Føler du dig mere eller mindre sulten end normalt?,Do you feel more or less starved than usual?,"Чи відчуваєте ви більший або менший голод, ніж зазвичай?"
Har du haft nogle blødninger eksternt af din menstruation periode?,Have you had any bleeding externally of your menstruation period?,Чи були у вас якісь кровотечі за межами менструального циклу?
Har du blødt normalt i de sidste par måneder?,Have you bled normally in the preceding few months?,Протягом останніх кількох місяців у вас була нормальна кровотеча?
"Har du smagt symptomer, du ikke har haft før?",Have you seasoned any symptoms you haven't had before physically?,"Чи відчуваєте ви якісь фізичні симптоми, яких раніше не було?"
Har du øreringe på?,Are you wear earrings?,Ви носите сережки?
Har du en halskæde på?,Are you wears a necklace?,Ви носите намисто?
Har du gafler i håret?,Do you have forks in your hair?,Ви використовуєте шпильки для волосся?
Har du noget metal i hårnålene?,Do you have any metallurgical in your hairpins?,Чи є у ваших шпильках метал?
Er dine hårnåle lavet af andet materiale end mineral?,Are your hairpins made of material other than mineral?,"Ваші шпильки зроблені з іншого матеріалу, ніж метал?"
"Har du metalgenstande på dig, som du ikke har elimineret?",Do you have metal objects on you that you haven't eliminated?,"Чи є на вас металеві предмети, які ви не зняли?"
"Er der nogen metaldele i dit organ, for eksempel kunstige led?","Are there any metal parts in your organ, for example, artificial joints?","Чи є у вашому тілі металеві частини, наприклад, штучні суглоби?"
Har du en stimulator?,Do you have a stimulator?,У вас є кардіостимулятор?
Har du fået en promotor implanteret?,Have you had a promoter implanted?,Чи є у вас вживлений кардіостимулятор?
Har du tidligere haft en stimulator implanteret?,Have you previously had a stimulator implanted?,Вам раніше імплантували кардіостимулятор?
Er der en pacemaker i dit bryst?,Is there a pacemaker in your bosom?,Чи є у вас кардіостимулятор у грудях?
Var du blevet opereret?,Had you had heart surgery?,Вам робили операцію на серці?
Er du blevet opereret?,Ha you undergone heart surgery?,Ви перенесли операцію на серці?
Har du haft nogen genre af metal implanteret i dit hjerte?,Have you had any genre of metal implanted in your heart?,Чи є у вас в серці будь-які металеві імплантати?
Har du været hjertesyg?,Has you been heart-sick?,У вас були серцеві захворювання?
Har du noget elektronisk apparat i brystet?,Do you have any electronic device inserting in your chest?,Чи є у вас в грудях який-небудь електронний пристрій?
Er der et implantat i dit brystdistrikt?,Is there an implant in your chest district?,Чи є у вас імплантат у грудній клітці?
Har du fået implanteret hjerteapparater?,Have you had heart appliances implanted?,Вам імплантували серцеве обладнання?
Har du en hjerte tempo enhed i brystet?,Do you have a heart pace device in your chest?,"Чи є у вас в грудях пристрій, що контролює серцевий ритм?"
"Har du en intern enhed, der overvåger din coeur-funktion?",Do you have an internal device monitoring your coeur function?,"Чи є у вас внутрішній пристрій, який контролює роботу серця?"
"Er der noget elektronisk i din krop, der kan reagere på magnetisk resonans?",Is there somethings electronic in your body that could react to magnetic resonance?,"Чи є у вашому тілі щось електронне, що може реагувати на магнітний резонанс?"
Er du klar over en anordning der regulerer din puls?,Are you aware of a devices regulating your heart rate?,"Чи відомо вам про пристрій, який регулює ваш серцевий ритм?"
Har du et mekanisk apparat der understøtter din hjertefunktion?,Do you have a mechanical apparatus supporting your heart function?,"Чи є у вас механічний пристрій, який підтримує роботу серця?"
"Er du klar over, at algo hjælper med at styre din hjerterytme?",Are you aware of algo helping control your heart rhythm?,"Чи відомо вам про щось, що допомагає контролювати ваш серцевий ритм?"
"Har du en indretning, der påvirker dit hjertes elektriske signaler?",Do you have an interiors device affecting your heart's electrical signals?,"Чи є у вас внутрішній пристрій, що впливає на електричні сигнали вашого серця?"
Er du klar over at et implantat er placeret nærmere dit hjerte?,Are you aware of an implant placed nearer your heart?,Чи відомо вам про імплантат біля вашого серця?
Er der en pacemaker i Deres bureauer?,Is there a pacemaker inserted into your agencies?,Чи є у вашому тілі кардіостимулятор?
Bruger du en pacemaker til at regulere din kujon?,Are you using a pacemaker to regulate your coeur?,Чи використовуєте ви кардіостимулятор для регулювання роботи серця?
"Har du en anordning, der kan styre din hjerterytme?",Do you have a device helped control your heart rhythm?,"Чи є у вас пристрій, який допомагає контролювати серцевий ритм?"
"Er der noget elektronisk i dit lig, der styrer dit hjertes funktion?",Is there anything electronic in your cadaver controlling your heart's function?,"Чи є у вашому тілі щось електронне, що контролює роботу вашого серця?"
"Har du en indre enhed, der overvåger dit hjertes elektrificerede signaler?",Do you have an internal device monitoring your heart's electrified signals?,"Чи є у вас внутрішній пристрій, який контролює електричні сигнали вашого серця?"
Har du noget mekanisk hjælper dit hjerte?,Do you have anything mechanical helps your heart?,"Чи є у вас щось механічне, що підтримує ваше серце?"
"Er der et apparat, der hjælper med at opretholde din pulsstabilitet?",Is there a appliance helping maintain your heart rate stability?,"Чи є у вас пристрій, який допомагає підтримувати стабільність серцевого ритму?"
Har du en pacemaker der regulerer din puls?,Do you have a pacemaker regulates your heart rate?,"Чи є у вас кардіостимулятор, який регулює частоту серцевих скорочень?"
Føler du dig ubelejlig i lukkede rum?,Do you feel inconvenient in enclosed spaces?,Чи відчуваєте ви дискомфорт у замкнених приміщеннях?
Føler du dig utilpas i stramme omgivelser?,Do you feel uncomfortable in tight surroundings?,Чи відчуваєте ви дискомфорт у тісному середовищі?
Har du haft problemer med at være i elevatorer?,Have you had problem being in elevators?,Чи були у вас проблеми з перебуванням у ліфтах?
Føler du dig urolig når du sidder indespærret i små rum?,Do you feel unease when confined in small spaces?,"Чи відчуваєте ви дискомфорт, перебуваючи в тісному приміщенні?"
Har du oplevet angst i overbelastede situationer?,Have you experienced anxiety in congested situations?,Чи траплялося вам хвилюватися у місцях великого скупчення людей?
Føler du dig nervøs i stramme korridorer?,Do you feel twitchy in tight corridors?,Чи нервуєте ви перебуваючи у вузьких коридорах?
Har du haft ubehagelige eksperimenter i overfyldte elevatorer?,Have you had unpleasant experimentation in crowded elevators?,Чи мали ви неприємний досвід у переповнених ліфтах?
Føler du dig kvalt i små rum?,Do you feel suffocated in little spaces?,Ви відчуваєте нестачу повітря в тісному просторі?
Har du oplevet panik i snævre områder?,Have you experienced panic in tight regions?,Чи відчували ви паніку в тісних приміщеннях?
Føler du dig fanget i små rum?,Doing you feel trapped in small spaces?,Чи відчуваєте ви себе замкненим у малих приміщеннях?
Har du problemer med at være i overfyldte busser eller tog?,Do you have trouble being in crowded busses or trains?,Чи важко вам перебувати в переповнених автобусах або потягах?
Føler du dig utilpas på stramme steder?,Do you feel uncomfortable in tight places?,Чи відчуваєте ви дискомфорт у тісних місцях?
Har du haft problemer i stringente områder?,Have you had problems in stringent areas?,Чи виникали у вас проблеми в тісних приміщеннях?
Føler du dig fanget i venteværelser eller sammenkomster?,Do you feel nipped in waiting rooms or gatherings?,Чи буває вам важко дихати в залах очікування або на зустрічах?
Har du oplevet angst i overfyldte haller eller teaterscener?,Have you experienced anxiety in crowded halls or theater scenes?,Чи відчували ви тривогу в переповнених кінотеатрах або театрах?
Føler du dig utilpas i små kontor soveværelser eller mødelokaler?,Do you feel uncomfortable in small office bedrooms or meeting rooms?,Чи відчуваєте ви дискомфорт у невеликих офісних приміщеннях або кімнатах для нарад?
Har du haft problemer med at være overfyldt?,Has you had trouble being in crowded places?,Чи виникали у вас проблеми в людних місцях?
Føler du dig begrænset i overfyldte områder?,Do you feel limitation in crowded areas?,Чи відчуваєте ви себе обмеженим у людних місцях?
Har du udholdt ubehag i overfyldte områder sammen med mange mennesker?,Have you endured discomfort in crowded areas with many people?,Чи відчуваєте ви дискомфорт у місцях великого скупчення людей?
Føler du dig klaustrofobisk i minimale rum?,Do you feel claustrophobic in minimal spaces?,Чи відчуваєте ви клаустрофобію в малих приміщеннях?
Er du gået i panik i en trappe?,Have you panicked in tight escalator?,Чи панікували ви у тісних ліфтах?
Føler du dig overfaldet?,Do you feel ambushed in tight spaces?,Чи відчуваєте ви себе у пастці в тісному просторі?
Har du problemer med at være i folkelige køer eller linjer?,Do you have trouble being in populous queues or lines?,Чи відчуваєте ви труднощі в переповнених чергах?
Føler du dig nervøs i stramme trapper eller korridorer?,Do you feel nervous in tight staircases or corridors?,Чи нервуєте ви на тісних сходових клітках або в коридорах?
Har du oplevet bekymring i snævre eller små rum?,Have you experienced concern in tight or small spaces?,Чи відчуваєте ви тривогу в тісному або обмеженому просторі?
Føler du dig utilpas i offentlig transport med mange mennesker?,Do you feel uneasy in public transport with many people?,Чи відчуваєте ви дискомфорт у громадському транспорті де багато людей?
Har du haft problemer med at være i snævre rum forguder elevatorer eller smalle værelser?,Have you had problems being in tight spaces adores elevators or narrow rooms?,"Чи виникали у вас проблеми з перебуванням у тісному просторі, наприклад, у ліфті чи вузькому приміщенні?"
Føler du dig ubelejlig i overfyldte værelser?,Do you feel inconvenient in crowded rooms?,Чи відчуваєте ви дискомфорт у переповнених приміщеннях?
Har du haft problemer med at være masseret?,Have you had trouble being in massed places?,Чи виникали у вас проблеми в багатолюдних місцях?
Føler du dig klaustrofobisk i stramme parkeringspladser eller parkeringspladser?,Do you feel claustrophobic in tight parking alot or parking spaces?,Чи відчуваєте ви клаустрофобію на тісних парковках або стоянках?
Har du eksperimenteret med ubehag i overfyldte haller eller andre stramme områder?,Have you experimented discomfort in crowded halls or other tight areas?,Чи відчуваєте ви дискомфорт у переповнених залах або інших тісних приміщеннях?
Er du gået i panik i overfyldte koncerter eller festivaler?,Have you panicked in congested concerts or festivals?,Чи панікували ви на переповнених концертах або фестивалях?
Føler du dig nervøs i overfyldte stævner?,Do you feel nervous in crowded rallies?,Чи нервуєте ви на багатолюдних зібраннях?
Har du udholdt angst i overfyldte indkøbscentre?,Have you endured anxiety in crowded shopping malls?,Чи відчували ви тривогу в багатолюдних торгових центрах?
Føler du dig utilpas i rodede busser?,Do you feel uncomfortable in cluttered buses?,Чи відчуваєте ви дискомфорт у переповнених автобусах?
Har du haft svært ved at være med i rodede begivenheder?,Have you had trouble being in cluttered events?,Чи виникали у вас проблеми на багатолюдних заходах?
Føler du dig utilpas i overfyldte områder?,Do you feel uncomfortable in overcrowding areas?,Чи відчуваєте ви дискомфорт у багатолюдних місцях?
Har du haft problemer med at være i folkerige områder?,Have you had problems being in populous areas?,Чи виникали у вас проблеми з перебуванням у багатолюдних місцях?
Føler du dig klaustrofobisk i overfyldte områder?,Doing you feel claustrophobic in crowded areas?,Чи відчуваєте ви клаустрофобію в багатолюдних місцях?
Har du oplevet utilpashed i overfyldte områder eller områder?,Have you experienced uneasiness in crowded places or areas?,Чи відчували ви занепокоєння в місцях великого скупчення людей?
Føler du at du er blevet kildret på overfyldte steder eller områder?,Do you feel wedged in crowded places or areas?,Чи відчуваєте ви себе замкненим у людних місцях чи приміщеннях?
Føler du dig nervøs i overbelastede områder eller værelser?,Do you feel nervous in congested areas or rooms?,Чи нервуєте ви в багатолюдних місцях або приміщеннях?
Føler du dig utilpas i rodede værelser?,Do you feel uncomfortable in cluttered rooms?,Чи відчуваєте ви дискомфорт у переповнених приміщеннях?
Har du allergi?,Doing you have any allergies?,Чи є у вас алергія?
Er du allergi overfor noget?,Are you allergies to anything?,Чи є у вас алергія на що-небудь?
Har du nogen velkendte allergier?,Do you have any familiar allergies?,Чи знаєте ви про наявність у вас алергії?
Har du oplevet allergiske svar før?,Have you experienced allergic answering before?,Чи ви мали алергічні реакції раніше?
"Er der noget, du ikke kan tåle på grund af allergi?",Is there anything you cannot tolerate due to allergy?,"Чи є щось, що ви не можете переносити через алергію?"
Havde du haft allergiske symptomer før?,Had you had allergic symptoms before?,Чи були у вас раніше алергічні симптоми?
"Er der stoffer eller fødevarer, du skal undgå på grund af allergiske?",Are there substances or foods you need to avoid due to allergic?,"Чи є речовини або продукти, яких вам потрібно уникати через алергію?"
Har du nogensinde haft allergiske reaktioner over for medicin?,Have you ever had allergic reactions to drugs?,Чи були у вас коли-небудь алергічні реакції на ліки?
Har du oplevet allergiske symptomer såsom hævelse eller eksem?,Have you experienced allergic symptoms such as swelling or eczema?,"Чи були у вас алергічні симптоми, такі як набряк або свербіж?"
"Har du nogen sinde haft allergisk reaktion, såsom hævelse eller kløe?","Have you ever had allergic responded, such as swelling or itching?","Чи були у вас коли-небудь алергічні реакції, такі як набряк або свербіж?"
"Er du bekendt med symptomer på allergiske reaktioner, såsom ødem eller kløe?","Are you familiar with symptoms of allergic reactions, such as edema or itching?","Чи знайомі ви з такими симптомами алергічних реакцій, як набряк або свербіж?"
Har du oplevet ødem eller kløe på grund af allergi?,Have you experienced edema or itching due to allergy?,Чи був у вас набряк або свербіж через алергію?
