danish,english,ukranian
"MR, Jeg kan have mellem 8 og 10, og det's fordi MR-scanninger normalt tager mellem 40-45 minutter, men i regelmæssig røntgen, Jeg kan nemt have 30 - 35 patienter på en dag.","MR , I can have between 8 and 10 , and that 's because MR scans usually take between 40-45 minutes , but in regular X-ray , I can easily have 30 - 35 patients in a day .","На МРТ я можу мати від 8 до 10, тому, що МРТ-сканування зазвичай тривають від 40 до 45 хвилин, але в звичайному рентгені я легко приймаю 30 - 35 пацієнтів за день."
"Så bare for at forstå, når du har en arbejdsdag, er det dedikeret kun til MR eller til ting så godt?","So just to understand , when you have a workday , is it dedicated only to MR or to things as well ?","Отже, щоб зрозуміти, коли у вас робочий день, він присвячений лише МР, чи ще й іншим речам?"
"Ja, jeg ankommer i morgen og derefter finde ud af, hvilket værelse jeg er tildelt til for dagen, og så vi spredte ud. Så, nogle er første sal og nogle den anden, og nogle ned i vores nødsituation afdeling. I dag, Jeg er MR-scanninger første sal, så i dag har jeg 12 patienter.","Yes , I arrive in the morning and then find out which room I am assigned to for the day , and then we spread out . So , some are the first floor and some the second , and some down in our emergency department . Today , I am the MR scans the first floor , so today I have 12 patients .","Так, я приходжу вранці і потім дізнаюся, до якого кабінету я призначений на сьогодні. Тож, деякі знаходяться на першому поверсі, деякі на другому, а деякі у відділенні невідкладної допомоги. Сьогодні я займаюся МРТ-скануваннями на першому поверсі, сьогодні у мене 12 пацієнтів."
"Kan mærke forskellen, når man går fra almindelig røntgen til MR i form af kommunikation? Er der nogen ting, der justerer med hensyn til kommunikation?",Can feel the difference when go from regular X-ray to MR in terms of communication ? Are there any things adjust in terms of communication ?,"Чи відчуваєте ви різницю між звичайним рентгеном і МРТ щодо комунікації з пацієнтом? Чи є якісь речі, які ви коригуєте?"
"Du justerer til det faktum, at de fleste mennesker ved, hvad et røntgenbillede er, men ikke alle har oplevet en MR. Det er noget meget mere teknisk, og rummet ser en smule mere skræmmende. Patienter er spurgt om at have metal eller en pacemaker i deres krop. Det's en mere dybdegående kontakt, fordi, for eksempel, hvis jeg har en patient fra Bosnien, Jeg kunne spørge, 'har du måske blevet skudt på et tidspunkt under krigen? 'Du er nødt til at tænke en smule mere, mens i X-ray jeg vurdere 'kan patienten stå eller ej? 'I MR, der er mange ting at overveje. Har du arbejdet med svejsning?'Har du klaustrofobi? Har du metal implantater? De kan have nogle kontrast injiceret, og patienterne bliver ligesom 'hvor har jeg brug for det? ', er fordi noget er galt? ', hvor jeg så svarer 'nej,'s bare lægerne kan se forskellen 'Det 'er en mere dybdegående kontakt', og patienterne bliver ligesom 'hvordan man bruger blot kontakten til at være sikker?","You adjust to the fact that most people know what an X-ray is , but not everyone has experienced an MR . It 's something much more technical , and the room looks a bit more scary . Patients are asked about having metal or a pacemaker in their body . It 's a more in-depth contact because , for example , if I have a patient from Bosnia , I might ask , 'have you perhaps been shot at some point during the war ? ' You have to think a bit more , whereas in X-ray I assess – 'can the patient stand or not ? ' In MR , there are many things to consider . Have you worked with welding ? Do you have claustrophobia ? Do you have metal implants ? They might need to have some contrast injected , and the patients become like 'why do I need that ? is because something is wrong ? ' , where I then answer 'no , no , 's just so the doctors can see the difference ' It 's a more in-depth contact , where you also use the contact to reassure the patient rather than being 'just ' to conduct a good examination .","Ви налаштовуєтеся на те, що більшість людей знає, що таке рентген, але не всі пробували МР. Це щось набагато технічніше, і кімната виглядає трохи лякаюче. Пацієнтів питають про наявність металу чи кардіостимулятора в тілі. Це більш глибокий контакт, тому що, наприклад, якщо у мене пацієнт з Боснії, я можу запитати, 'чи не були ви випадково поранені під час війни?' Треба думати трохи більше, в той час як в рентгені я оцінюю – 'чи може пацієнт стояти чи ні?' У МР, є багато речей, про які треба подумати. Чи працювали ви зі зварюванням? Чи маєте ви клаустрофобію? Чи маєте ви металеві імплантати? Їм, можливо, потрібно ввести контрастну речовину, і пацієнти задаються питанням 'чому мені це потрібно? це тому, що щось не так?', на що я відповідаю 'ні, ні, це просто для того, щоб лікарі могли побачити різницю' Це більш глибокий контакт, де ви також використовуєте зв'язок, щоб заспокоїти пацієнта, а не просто для проведення якісного обстеження."
Hvad ville professionelt være en god eksamen for dig?,What would professionally be good examination for you ?,Що професійно було б для вас хорошим обстеженням?
"En god undersøgelse for mig er, hvor patient og jeg'mød' hinanden på samme øjenniveau. Vi møder patient, hvor de er, og de føler sig trygge ved det. De går gennem undersøgelse, de ligger stadig, vi får nogle gode billeder, og hvis patienten føler, at hvis de var bange i starten, og efter vi har talt, og efter undersøgelse, hvis de så siger til mig, at det ikke var så slemt, så jeg ved okay, de ikke være nervøse næste gang. Så, det var en god undersøgelse og en god oplevelse for patienten, som også gør det en nem undersøgelse for mig.","A good examination for me is where patient and I 'meet ' each other at same eye level . We meet patient where they are , and they feel safe about it . They go through examination , they lie still , we get some good images , and if patient feels that if they were scared at beginning , and after we have talked , and after examination , if they then say to me that it was n't so bad , then I know okay , they wo n't be nervous next time . So , it was a good examination and a good experience for patient , which also makes it an easy examination for me .","Добре обстеження для мене - це коли я та пацієнт 'зустрічаємося' на одному рівні. Ми зустрічаємо пацієнта там, де він є, і він почувається в безпеці. Вони проходять обстеження, лежать нерухомо, ми отримуємо хороші знімки, і якщо пацієнт відчуває, якщо він боявся на початку, а після нашої розмови, і після обстеження він потім каже мені, що це було не так погано, тоді я знаю, окей, він не буде нервувати наступного разу. Отже, це було добре обстеження та хороший досвід для пацієнта, що також робить обстеження легким для мене."
"Hvordan vil du beskrive, hvad god tålmodig kommunikation er for dig og disse ting om følelsen af, at patienten har været glad for at opleve sådan...",How would you describe what good patient communication is for you and these things about feeling that the patient has been happy to experience such…,"Як би ви описали, що для вас є хорошою комунікацією з пацієнтом і ці речі про відчуття, що пацієнт був радий таке пережити"
Tillid...,Trust…,Довіра
"Ja, tillid!","Yes, trust!","Так, довіра!"
"Ja, det's om tillid, at patienten stoler på dig. Jeg har ikke har patientkontakt som en sygeplejerske, der kan have en patient i to uger, hvor hun opbygger denne tillid. Jeg har 40 minutter til en undersøgelse, så jeg er nødt til hurtigt at fastslå, at kontakt og tillid, så patienten føler sig rolig og sikker MR scanner. Det's også om ikke at være i stand til at tilbringe en time med patienten, fordi den næste patient venter, så tid kan være en stor stressfaktor. Fordi vi ikke har meget tid, du kan ikke altid 'forbindelse' med patienten og nogle gange, du sender patienten ind i scanneren uden patienten fuldt ud at forstå, hvad's kommer til at ske, på grund af tidspresset, og det kan skabe lidt af en dårlig forbindelse.","Yes , it 's about trust , that the patient trusts you . I do n't have patient contact like a nurse , who can have a patient for two weeks , where she builds up that trust . I have 40 minutes for one examination , so I have to quickly establish that contact and trust , so the patient feels calm and safe the MR scanner . It 's also about not being able to spend an hour with the patient because the next patient is waiting , so time can be a big stress factor . Because we do n't have much time , you ca n't always 'connect ' with the patient and sometimes , you send the patient into the scanner without the patient fully understanding what 's going to happen , because of the time pressure , and that can create a bit of a poor connection .","Так, це про довіру, про те що пацієнт довіряє тобі. У мене немає контакту з пацієнтом, як у медсестри, яка може доглядати пацієнта два тижні, де вона вибудовує ту довіру. У мене є 40 хвилин на одне обстеження, тому я маю швидко створити цей контакт і довіру, щоб пацієнт почувався спокійно і в безпеці в МР-сканері. Це також про те, що я не можу провести годину з пацієнтом, тому що наступний пацієнт чекає, тож час може бути великим фактором стресу. Через те, що у нас немає багато часу, не завжди можна 'встановити контакт' з пацієнтом, і іноді, ви відправляєте пацієнта в сканер, не маючи повного розуміння що має статися, через нестачу часу, і це може створити не дуже хороший зв'язок."
"Hvilke områder er vanskelige at håndtere, hvis der opstår kommunikationsproblemer mellem Dem og patienten?",What areas difficult to handle if communication difficulties arise between you and the patient ?,"Які області важко контролювати, якщо між вами та пацієнтом виникають труднощі з комунікацією?"
"Hvis patienten ikke taler dansk, engelsk, somalisk, somalisk eller arabisk, og de ikke har en to tolke med sig - så spørg patienten: har du en pacemaker, og han ser på mig og siger, ja! Har du metal implanteret i maven? Ja! Og'm slags... okay... så skal du tjekke patientens lægejournal, og derefter kan afgøre: Du har ikke noget implanteret, der 'er ingen operation note eller noget i sundhedsplatformen. Det 'er nogle gange vil have aflyst undersøgelser så de kan få en tolk, fordi det's en sikkerhed ting. cat 't tage dig i hvis du ikke er 100 % sikker på, om du har fået implanteret metal i din krop. så vil nogle gange have aflyst undersøgelser, så de kan få en tolk, fordi det er en sikkerhed ting. cat ikke har nogen brug for at spørge. Hvis du 'du ikke er 100 % sikker på, om du har fået implanter metal i din krop. Hvis en patient kommer fra en patient og kommer kommer fra Irak og jeg' og jeg har været i Irak, og har sagt, så har ', og har 'det'. Hvis du har sagt'. Hvis du har været i Irak', så har 'det'. Hvis du har.","Well , it can be like this for example : If the patient does n't speak Danish , English , Somali , or Arabic and they do n't have an interpreter with them - then ask the patient : do you have a pacemaker , and he looks at me and says , yes ! Do you have metal implanted in your stomach ? Yes ! And 'm kind of ... okay ... so have to check the patient 's medical record and then can determine : You do n't have anything implanted , there 's no operation note or anything in the health platform . It 's because the patient does n't understand what 'm asking . It 's no use asking : do you have a pacemaker if the patient does n't know what a pacemaker is in Danish . Sometimes have canceled examinations so they can get an interpreter because it 's a safety thing . ca n't take you in if you 're not 100 % sure about whether you have implanted metal in your body . If the patient is 80 and comes from Iraq , and there has been war and everything . do n't know what they might have implanted or inserted in their body . So , you spend time searching and checking , and sometimes it 's a patient who is being evaluated for cancer and he has been waiting for an MR scan for a month , and then have to tell him , because we do n't understand each other ( linguistically ) : 'my friend , have to cancel ' and then they are like : 'what do you mean ? 've been waiting , do n't know if have cancer or not ! ' and there am . The referring doctor should have said , this patient has linguistic difficulties ! He needs to have an interpreter , so we could have caught it from the start . If someone else has n't done their job properly elsewhere , then the patient suddenly stands before me , and have to say sorry ... then they get upset , maybe their relatives are with them , and they become incomprehensible . You end up in difficult situations , and then you have to say : 'for safety reasons , do n't know what you have , and therefore have to cancel , but you will get a new appointment as soon as possible , and will go to the secretary ' and they want a new appointment as soon as possible . If they do n't speak Danish , then it 's very difficult in MR . In X-ray , it might work , because then can just use sign language to say : the hand here – they put their hand there , and then press the button . can kind of wriggle out of it , but with MR it 's a bit difficult because of the safety precautions involved .","Ну, це може бути, наприклад, так: якщо пацієнт не говорить данською, англійською, сомалійською чи арабською і в нього немає перекладача - тоді я питаю пацієнта: у вас є кардіостимулятор, і він на мене дивиться і каже, так! У вас є метал імплантований у шлунку? Так! І я трохи... добре... тоді мені потрібно перевірити медичний запис пацієнта, і тоді я можу визначити: у вас нічого не імплантовано, немає запису про операцію або щось інше в системі охорони здоров'я. Це тому, що пацієнт не розуміє, що я питаю. Немає сенсу питати: у вас є кардіостимулятор, якщо пацієнт не знає, що таке кардіостимулятор данською. Іноді я скасовую обстеження, щоб вони могли отримати перекладача, тому що це питання безпеки. Я не можу взяти вас, якщо ви не на 100% впевнені, що у вас є метал імплантований у тіло. Якщо пацієнту 80 років і він приїхав з Іраку, там була війна. Я не знаю, що вони могли імплантувати або вставити в тіло. Отже, ви витрачаєте час на пошук і перевірку, і іноді це пацієнт, який проходить діагностику раку, і він чекав на МРТ сканування місяць, і мені треба сказати (мовно): 'друже, я повинен скасувати процедуру', бо ми не розуміємо один одного. І тоді вони такі: 'що ви маєте на увазі? Я стільки чекав, я не знаю, чи у мене рак чи ні!'. Лікар, який направив, повинен був сказати, що цей пацієнт має мовні труднощі! Йому потрібен перекладач, тоді ми могли б виявити це з самого початку. Якщо хтось інший не виконав свою роботу належним чином десь інде, тоді пацієнт раптом стоїть переді мною, і я повинен сказати вибачте... тоді вони засмучуються, можливо, з ними їхні родичі, і вони стають нерозуміючими. Ви потрапляєте в складні ситуації, і тоді вам доводиться сказати: 'з міркувань безпеки, я не знаю, що у вас є, і тому я повинен скасувати, але ви отримаєте новий прийом якомога швидше, і я піду до секретаря' і вони хочуть якнайшвидше отримати новий прийом. Якщо вони не говорять данською, то з процедурою МРТ дуже складно. У рентгені це може пройти, тому що тоді я можу просто жестами сказати: рука тут – вони кладуть руку там, і тоді я натискаю кнопку. Я можу якось викрутитися, але з МРТ це складніше через заходи безпеки."
"Kan du uddybe lidt mere, når du siger, at du bruger tegnsprog? Hvad betyder du ansætte, hvis der er en patient, du ikke kan kommunikere med. Her nævner tegnsprog. Er det noget visuelt, gestus, noget lignende?","Can you elaborate a bit more when you say that you use sign language ? What means do you employ if there 's a patient you can not communicate with . Here you mention sign language . Is it something visual , gesturing , something similar ?","Розкажіть детальніше, як використовуєте жести? Які засоби ви застосовуєте, якщо є пацієнт, з яким ви не можете спілкуватися. Ви казали жести. Це візуальні засоби, жестікуляція або щось подібне?"
"Vi har ikke noget visuelt; vi kun har vores kroppe, og derefter kan sige 'hånd' og nogle gange bare tage det og placere det der på tallerkenen, og så de ser, og du kan se på dem, at de ikke ved, hvad der sker. Derefter justere udstyret, se på dem, smil, og de er bare helt blanke. Vi har kun tegnsprog, hvis du kender lidt af det sprog, de taler. '","We do n't have anything visual ; we only have our bodies , and then can say 'hand ' and sometimes just take it and place it there on the plate , and then they look , and you can see on them that they do n't know what 's happening . Then adjust the equipment , look at them , smile , and they are just completely blank . We only have sign language if you know a bit of the language they speak . ''","У нас немає нічого візуального; у нас є лише наші тіла, і тоді я можу сказати 'рука' і іноді я просто беру її і кладу туди на плиту, а потім вони дивляться, і ви можете бачити по ним, що вони не знають, що відбувається. Потім я налаштовую апарат, дивлюся на них, посміхаюся, і вони просто абсолютно нічого не розуміють. У нас є лише жести, якщо ви знаєте трохи мову, якою вони говорять."
"Når man nævner ordet ""pacemaker"" og sådan, som er meget vanskeligt oversætte til dansk eller andre sprog. Er disse latinske udtryk, der er super vanskelig kommunikation?","When you mention the word 'pacemaker ' and such , which is very difficult translate into Danish or other languages . Are these Latin terms that are super difficult communicate ?","Коли ви згадуєте слово 'кардіостимулятор' та подібне, яке дуже важко перекласти датською або на інші мови. Це ті латинські терміни, які дуже важко передати?"
"Nogle gange, men det meget afhænger af det sprog, du bruger, og sprog i almindelighed. Hvis du bruger mange latinske udtryk og professionel jargon, det forvirrer patienten. Det's om at møde patienten, hvor de er. Så jeg ser på patienten, og jeg kan se ham's en ældre gentleman, der's havde et par øl på den lokale, og han taler på en bestemt måde, og han siger 'damn, hvad er dette? 'Så jeg taler til ham som 'bare komme på Ole, du bare ligge hernede, højre? 'Jeg taler patientens sprog. Hvis, for eksempel, jeg møder en ældre blid mand af en anden etnisk baggrund end dansk, jeg kunne blive påvirket på en måde, at min danske også bliver brudt. Så taler jeg ligesom dem, fordi det er lettere for folk at kommunikere med dig, og de forstår det bedre. Men hvis jeg taler min normale Jylland dialekt, og hvis den ældre mand ikke er dansk, han kan være en smule 'lidt ', hvad kan du sige?","Sometimes , but it very much depends on the language you use , and language in general . If you use many Latin terms and professional jargon , it confuses the patient . It 's about meeting the patient where they are . So I look at the patient , and I can see he 's an older gentleman who 's had a couple of beers at the local and he speaks in a certain way , and he says 'damn , what is this ? ' Then I talk to him like 'just come on Ole , you just lie down here , right ? ' I speak the patient 's language . If , for example , I meet an older gentleman of a different ethnic background than Danish , I might be influenced in a way that my Danish also becomes broken . Then I speak like them , because it 's easier for people to communicate with you , and they understand it better . But if I speak my normal Jutland dialect , and if the older gentleman is not Danish , he might be a bit 'what are you saying ? ' Some of my colleagues from Funen , their accents , it can be a bit difficult for patients who have just come to the country .","Іноді, але це дуже залежить від мови, яку ви використовуєте, і від мови загалом. Якщо ви використовуєте багато латинських термінів і професійного жаргону, це плутає пацієнта. Я дивлюся на пацієнта, і я бачу, що це старший чоловік, який випив кілька келихів пива у місцевому пабі і він говорить певним чиномю Він каже 'чорт, що це таке?' Тоді я розмовляю з ним так 'тільки приходь Оле, ти просто лягай отут, добре?' Я розмовляю мовою пацієнта. Якщо я, наприклад, зустрічаю старшого чоловіка не з Данії, а з іншої країні, на мене це впливає так, що я починаю говорити ламаною данською. Тоді я розмовляю як вони, тому що це легше для людей , і вони краще це розуміють. Але якщо я розмовляю своїм звичайним діалектом Ютландії, і якщо цей старший чоловік не датчанин, він може не розуміти мене. Деякі мої колеги з Фюну, локальні акценти може бути трохи складно зрозуміти для пацієнтів, які тільки приїхали до країни."
"Er det også det, De mener med at møde dem i øjenhøjde?",Is that also you mean by meeting them at eye level ?,"Це також те, що ви маєте на увазі під зустріччю з ними на рівних?"
"Ja, du at møde dem, hvor de taler. Hvis de taler street slang, så taler jeg street slang. Hvis de taler standard dansk, så taler jeg standard dansk. De ældre damer, der kommer ind og taler som dronningen, så taler jeg som dronningen ville med dem. Det's et værktøj, vi, at du kan 'tale' til folk, så de forstår, hvad du siger. Hvis jeg altid taler helt normalt, de kan være lidt forvirrede.","Yes , you to meet them where they speak . If they speak street slang , then I speak street slang . If they speak standard Danish , then I speak standard Danish . Those older ladies who come in and speak like the queen , then I speak as the queen would with them . It 's a tool we , that you can 'talk ' to people so they understand what you 're saying . If I always speak completely normally , they can be a bit confused .","Так, потрібно розмовляти так, як вони розмовляють. Якщо вони розмовляють сленгом, то я теж розмовляю сленгом. Якщо вони розмовляють стандартною данською, то я розмовляю стандартною данською. Ті старші жінки, які приходять і розмовляють як королева, то я розмовляю з ними як би розмовляла королева. Це інструмент, який у нас є, можна 'розмовляти' з людьми так, щоб вони розуміли, що ти говориш. Якщо я завжди розмовляю зовсім нейтрально, вони можуть бути трохи спантеличені."
"Så, det med latinske og medicinske udtryk, det er ikke kun med udlændinge, også med danskere?","So , the thing with Latin and medical terms , it 's not just with foreigners , also with Danes ?","Отже, справа з латинськими та медичними термінами, це не лише з іноземцями, але й з датчанами?"
"Det's bare om, hvordan du taler. Vi er ganske hurtig til at læse folks nonverbal kropssprog og hvilke typer af mennesker kommer i, ganske hurtigt. Nogle er bare helt normale. Hvis jeg møder dig, Jeg ved, at du er helt normal. Men så er der nogle, der er specielle typer, hvis du forstår, hvad jeg mener. De siger tingene på en bestemt måde, og de siger, hvad de betyder, og de udtrykker deres meninger.","It 's just about how you talk . We are quite quick to read people 's nonverbal body language and what types of people come in , quite quickly . Some are just completely normal . If I meet you , I know that you are completely normal . But then there are some who are special types , if you understand what I mean . They say things in certain way and they say what they mean , and they express their opinions .","Все залежить від того, як ти розмовляєш. Ми досить швидко вміємо зчитувати невербальну мову тіла людей і які типи людей приходять. Деякі з них абсолютно нормальні. Якщо я побачу тебе, я зрозумію, що ти абсолютно нормальний. Але є деякі, особливими люди, якщо ти розумієш, що я маю на увазі. Вони говорять певним чином і говорять те, що мають на умі, і висловлюють свої думки."
"Du har nævnt disse sproglige kommunikation udfordringer. Kan du også forsøge at uddybe, hvis der har været nogen kulturelle eller religiøse forskelle mellem dig og patienter har påvirket din kommunikation med hinanden?",You 've mentioned these linguistic communication challenges . Can you also try to elaborate if there have been any cultural or religious differences between you and patients have influenced your communication with each other ?,"Ви говорили про лінгвістичні комунікаційні виклики. Чи можете ви детальніше розповісти, чи були якісь культурні або релігійні відмінності між вами та пацієнтами, які вплинули на ваше спілкування один з одним?"
